Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	6.8745	1.0000	4.0000	1.8745	5.0000	8.0000	
18.8745	24.3998	3.0000	4.0000	0.5252	5.0000	8.0000	
36.3998	43.3998	1.0000	4.0000	2.0000	5.0000	8.0000	
55.3998	61.3087	5.0000	4.0000	0.9090	5.0000	8.0000	
73.3087	78.8514	6.0000	4.0000	0.5427	5.0000	8.0000	
90.8514	96.2212	2.0000	4.0000	0.3699	5.0000	8.0000	
108.2212	113.2639	1.0000	4.0000	0.0427	5.0000	8.0000	
125.2639	130.8066	2.0000	4.0000	0.5427	5.0000	8.0000	
142.8066	147.9065	4.0000	1.2118	0.0999	5.0000	8.0000	
157.1183	164.1111	5.0000	0.4620	1.9928	5.0000	8.0000	
172.5730	177.5744	4.0000	4.0000	0.0013	5.0000	8.0000	
189.5744	195.1407	4.0000	3.9198	0.5663	5.0000	8.0000	
207.0605	212.1032	3.0000	1.2379	0.0427	5.0000	8.0000	
221.3411	226.4202	5.0000	3.9198	0.0791	5.0000	8.0000	
238.3400	245.2145	6.0000	4.0000	1.8745	5.0000	8.0000	
257.2145	262.5902	1.0000	1.2379	0.3757	5.0000	8.0000	
271.8282	276.8789	2.0000	4.0000	0.0507	5.0000	8.0000	
288.8789	294.4435	6.0000	3.0411	0.5646	5.0000	8.0000	
305.4846	312.3591	4.0000	1.8166	1.8745	5.0000	8.0000	
322.1757	327.3527	2.0000	2.6334	0.1770	5.0000	8.0000	
337.9861	343.0288	2.0000	1.7654	0.0427	5.0000	8.0000	
352.7942	358.0703	4.0000	4.0000	0.2761	5.0000	8.0000	
370.0703	375.0903	6.0000	1.5956	0.0200	5.0000	8.0000	
384.6859	390.4385	3.0000	1.8402	0.7526	5.0000	8.0000	
400.2787	405.2940	3.0000	4.0000	0.0153	5.0000	8.0000	
417.2940	423.0846	1.0000	4.0000	0.7907	5.0000	8.0000	
435.0846	440.0860	2.0000	1.8166	0.0013	5.0000	8.0000	
449.9025	454.9178	6.0000	3.2220	0.0153	5.0000	8.0000	
466.1398	471.1545	1.0000	4.0000	0.0147	5.0000	8.0000	
483.1545	488.1745	5.0000	0.6043	0.0200	5.0000	8.0000	
496.7788	501.7801	3.0000	4.0000	0.0013	5.0000	8.0000	
513.7801	518.9577	3.0000	3.2220	0.1776	5.0000	8.0000	
530.1797	536.6964	4.0000	1.2379	1.5167	5.0000	8.0000	
545.9344	551.3101	6.0000	1.7434	0.3757	5.0000	8.0000	
561.0535	566.8442	5.0000	1.2118	0.7907	5.0000	8.0000	
576.0560	582.5727	5.0000	4.0000	1.5167	5.0000	8.0000	

