,sum_ISI1,sum_ISI2
0,71.69999999999999,0.0
1,72.5,0.0
2,71.6,0.0
3,71.7,0.0
4,72.39999999999999,0.0
5,72.39999999999999,0.0
6,72.39999999999999,0.0
7,72.39999999999999,0.0
8,71.69999999999999,0.0
9,71.70000000000002,0.0
10,71.79999999999998,0.0
11,71.8,0.0
12,72.30000000000001,0.0
13,71.69999999999999,0.0
14,71.69999999999999,0.0
15,72.29999999999998,0.0
16,72.49999999999999,0.0
17,71.70000000000002,0.0
18,71.7,0.0
19,71.6,0.0
20,71.5,0.0
21,71.5,0.0
22,72.39999999999999,0.0
23,72.4,0.0
24,71.39999999999999,0.0
25,71.4,0.0
26,71.6,0.0
27,71.39999999999998,0.0
28,71.39999999999999,0.0
29,72.2,0.0
