,Unnamed: 0,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,49,high,h005.png,14,4,pain,99,2,2,4.0,0.1573
1,1,49,low,l049.png,17,3,pain,99,2,2,4.0,0.21
2,2,49,low,l030.png,19,3,pain,99,2,2,4.0,0.3473
3,3,48,low,l022.png,7,1,pain,99,2,2,4.0,0.2285
4,4,49,high,h007.png,18,4,pain,99,2,2,0.0557,2.0
5,5,48,low,l014.png,11,1,pain,99,2,2,0.6665,0.148
6,6,50,high,h001.png,24,6,pain,99,2,2,0.514,1.0778
7,7,50,low,l008.png,29,5,pain,99,2,2,4.0,1.0778
8,8,48,high,h051.png,4,2,pain,99,2,2,3.7125,2.0
9,9,48,high,h055.png,0,2,pain,99,2,2,2.2121,0.1695
10,10,49,high,h010.png,12,4,pain,99,2,2,0.1149,0.0562
11,11,49,low,l052.png,21,3,pain,99,2,2,0.349,0.8258
12,12,49,low,l033.png,15,3,pain,99,2,2,3.7125,0.1333
13,13,50,low,l042.png,33,5,pain,99,2,2,3.7428,0.175
14,14,50,low,l041.png,35,5,pain,99,2,2,2.5027,0.3473
15,15,48,low,l016.png,3,1,pain,99,2,2,4.0,0.1573
16,16,49,low,l021.png,23,3,pain,99,2,2,0.6665,0.0562
17,17,50,low,l035.png,27,5,pain,99,2,2,0.0938,0.1573
18,18,49,high,h045.png,16,4,pain,99,2,2,2.2121,0.2406
19,19,48,high,h013.png,10,2,pain,99,2,2,3.7428,0.1318
20,20,48,high,h054.png,8,2,pain,99,2,2,1.727,0.1695
21,21,49,high,h020.png,22,4,pain,99,2,2,1.1175,0.106
22,22,48,high,h011.png,2,2,pain,99,2,2,1.1851,0.175
23,23,50,low,l046.png,31,5,pain,99,2,2,2.4862,0.175
24,24,50,low,l002.png,25,5,pain,99,2,2,4.0,0.3459
25,25,50,high,h049.png,26,6,pain,99,2,2,4.0,0.1695
26,26,48,high,h040.png,6,2,pain,99,2,2,0.6857,0.9856
27,27,48,low,l043.png,5,1,pain,99,2,2,2.9844,0.1695
28,28,50,high,h043.png,34,6,pain,99,2,2,4.0,0.3473
29,29,50,high,h037.png,28,6,pain,99,2,2,0.6665,0.3179
30,30,49,high,h047.png,20,4,pain,99,2,2,0.535,0.21
31,31,48,low,l026.png,1,1,pain,99,2,2,4.0,0.148
32,32,50,high,h016.png,30,6,pain,99,2,2,4.0,2.0
33,33,50,high,h032.png,32,6,pain,99,2,2,0.0557,0.3011
34,34,49,low,l013.png,13,3,pain,99,2,2,4.0,0.3011
35,35,48,low,l036.png,9,1,pain,99,2,2,3.6748,1.6798
