Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.3923	4.0000	4.0000	0.3923	5.0000	8.0000	
17.3923	22.6218	1.0000	4.0000	0.2295	5.0000	8.0000	
34.6218	39.7126	4.0000	0.2529	0.0908	5.0000	8.0000	
47.9655	54.9655	1.0000	3.4052	2.0000	5.0000	8.0000	
66.3707	73.3707	4.0000	2.9287	2.0000	5.0000	8.0000	
84.2994	91.2994	6.0000	3.6034	2.0000	5.0000	8.0000	
102.9028	108.2774	3.0000	1.9779	0.3746	5.0000	8.0000	
118.2552	123.7514	1.0000	2.4336	0.4961	5.0000	8.0000	
134.1850	139.5773	1.0000	2.9287	0.3923	5.0000	8.0000	
150.5060	155.5271	5.0000	4.0000	0.0211	5.0000	8.0000	
167.5271	172.6179	5.0000	2.9287	0.0908	5.0000	8.0000	
183.5466	190.5466	4.0000	3.0599	2.0000	5.0000	8.0000	
201.6064	207.1611	5.0000	2.4336	0.5547	5.0000	8.0000	
217.5947	222.7142	6.0000	2.9802	0.1195	5.0000	8.0000	
233.6944	238.9239	5.0000	4.0000	0.2295	5.0000	8.0000	
250.9239	256.0989	4.0000	4.0000	0.1750	5.0000	8.0000	
268.0989	275.0989	4.0000	1.9779	2.0000	5.0000	8.0000	
285.0767	290.4691	2.0000	1.7799	0.3923	5.0000	8.0000	
300.2490	307.2490	2.0000	0.0119	2.0000	5.0000	8.0000	
315.2609	322.2609	6.0000	4.0000	2.0000	5.0000	8.0000	
334.2609	339.4904	2.0000	0.2764	0.2295	5.0000	8.0000	
347.7668	353.1024	6.0000	4.0000	0.3356	5.0000	8.0000	
365.1024	370.5496	1.0000	0.2653	0.4472	5.0000	8.0000	
378.8149	385.8149	6.0000	0.2529	2.0000	5.0000	8.0000	
394.0678	401.0678	5.0000	4.0000	2.0000	5.0000	8.0000	
413.0678	418.1994	2.0000	4.0000	0.1317	5.0000	8.0000	
430.1994	437.1994	5.0000	2.0842	2.0000	5.0000	8.0000	
447.2836	452.9756	2.0000	4.0000	0.6919	5.0000	8.0000	
464.9756	471.9756	3.0000	3.4052	2.0000	5.0000	8.0000	
483.3808	490.3808	2.0000	4.0000	2.0000	5.0000	8.0000	
502.3808	507.9697	3.0000	4.0000	0.5889	5.0000	8.0000	
519.9697	525.0090	1.0000	4.0000	0.0392	5.0000	8.0000	
537.0090	542.7420	3.0000	3.7616	0.7330	5.0000	8.0000	
554.5035	559.8391	3.0000	4.0000	0.3356	5.0000	8.0000	
571.8391	578.8391	3.0000	0.2529	2.0000	5.0000	8.0000	
587.0920	592.4843	6.0000	1.9767	0.3923	5.0000	8.0000	

