Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.0298	1.0000	3.1223	0.0298	5.0000	8.0000	
16.1521	21.2466	4.0000	4.0000	0.0945	5.0000	8.0000	
33.2466	38.6825	4.0000	3.1223	0.4359	5.0000	8.0000	
49.8048	54.9024	6.0000	4.0000	0.0976	5.0000	8.0000	
66.9024	72.3384	1.0000	4.0000	0.4359	5.0000	8.0000	
84.3384	89.4193	2.0000	2.3432	0.0810	5.0000	8.0000	
99.7626	105.3018	2.0000	1.5334	0.5392	5.0000	8.0000	
114.8352	120.5595	3.0000	0.7807	0.7243	5.0000	8.0000	
129.3402	134.9559	4.0000	0.1929	0.6157	5.0000	8.0000	
143.1488	148.5847	5.0000	4.0000	0.4359	5.0000	8.0000	
160.5847	166.0706	1.0000	0.4747	0.4859	5.0000	8.0000	
174.5453	181.1517	5.0000	3.2544	1.6064	5.0000	8.0000	
192.4061	197.4372	5.0000	1.3492	0.0311	5.0000	8.0000	
206.7864	211.9710	3.0000	4.0000	0.1845	5.0000	8.0000	
223.9710	229.9883	3.0000	4.0000	1.0173	5.0000	8.0000	
241.9883	247.3585	6.0000	3.1223	0.3702	5.0000	8.0000	
258.4807	264.6228	2.0000	1.0569	1.1421	5.0000	8.0000	
273.6798	279.2674	5.0000	3.9692	0.5877	5.0000	8.0000	
291.2366	296.7835	4.0000	1.6664	0.5469	5.0000	8.0000	
306.4499	312.1742	4.0000	1.0569	0.7243	5.0000	8.0000	
321.2311	326.7447	2.0000	1.7176	0.5136	5.0000	8.0000	
336.4624	341.9482	2.0000	4.0000	0.4859	5.0000	8.0000	
353.9482	360.9482	4.0000	4.0000	2.0000	5.0000	8.0000	
372.9482	378.1328	5.0000	1.0569	0.1845	5.0000	8.0000	
387.1897	393.7961	1.0000	4.0000	1.6064	5.0000	8.0000	
405.7961	411.1664	3.0000	1.9574	0.3702	5.0000	8.0000	
421.1237	426.7395	3.0000	4.0000	0.6157	5.0000	8.0000	
438.7395	443.9086	6.0000	0.1422	0.1692	5.0000	8.0000	
452.0508	457.5352	6.0000	0.1929	0.4844	5.0000	8.0000	
465.7282	471.8703	1.0000	0.5550	1.1421	5.0000	8.0000	
480.4253	485.5229	1.0000	1.5334	0.0976	5.0000	8.0000	
495.0563	500.4923	2.0000	1.3492	0.4359	5.0000	8.0000	
509.8415	514.9360	3.0000	0.1929	0.0945	5.0000	8.0000	
523.1289	530.1289	5.0000	0.9138	2.0000	5.0000	8.0000	
539.0427	544.1372	6.0000	1.3610	0.0945	5.0000	8.0000	
553.4982	559.0859	6.0000	4.0000	0.5877	5.0000	8.0000	

