Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	6.1442	1.0000	3.5603	1.1442	5.0000	8.0000	
17.7045	24.1933	1.0000	4.0000	1.4887	5.0000	8.0000	
36.1933	41.2903	2.0000	1.4634	0.0970	5.0000	8.0000	
50.7538	57.7232	2.0000	3.0901	1.9695	5.0000	8.0000	
68.8133	73.8661	3.0000	3.6294	0.0528	5.0000	8.0000	
85.4955	91.8785	5.0000	4.0000	1.3830	5.0000	8.0000	
103.8785	109.1883	6.0000	4.0000	0.3097	5.0000	8.0000	
121.1883	126.9296	4.0000	0.1019	0.7413	5.0000	8.0000	
135.0314	140.1285	6.0000	0.1019	0.0970	5.0000	8.0000	
148.2304	155.2304	2.0000	2.1883	2.0000	5.0000	8.0000	
165.4186	172.3793	6.0000	3.0901	1.9607	5.0000	8.0000	
183.4694	189.8524	3.0000	3.0901	1.3830	5.0000	8.0000	
200.9425	205.9952	5.0000	4.0000	0.0528	5.0000	8.0000	
217.9952	224.4840	3.0000	1.2582	1.4887	5.0000	8.0000	
233.7422	239.4675	6.0000	4.0000	0.7253	5.0000	8.0000	
251.4675	257.8005	1.0000	3.3622	1.3330	5.0000	8.0000	
269.1627	274.3224	6.0000	3.5603	0.1597	5.0000	8.0000	
285.8827	290.9354	4.0000	1.4634	0.0528	5.0000	8.0000	
300.3989	306.9195	4.0000	4.0000	1.5206	5.0000	8.0000	
318.9195	324.2527	2.0000	4.0000	0.3333	5.0000	8.0000	
336.2527	341.9781	1.0000	0.1019	0.7253	5.0000	8.0000	
350.0799	355.8815	3.0000	4.0000	0.8016	5.0000	8.0000	
367.8815	373.6068	4.0000	2.5713	0.7253	5.0000	8.0000	
384.1781	390.6669	6.0000	3.3622	1.4887	5.0000	8.0000	
402.0290	407.3388	5.0000	4.0000	0.3097	5.0000	8.0000	
419.3388	424.5823	5.0000	2.1883	0.2435	5.0000	8.0000	
434.7706	439.8840	5.0000	2.0283	0.1135	5.0000	8.0000	
449.9124	456.9124	1.0000	4.0000	2.0000	5.0000	8.0000	
468.9124	475.9124	4.0000	1.0689	2.0000	5.0000	8.0000	
484.9813	490.3874	2.0000	4.0000	0.4062	5.0000	8.0000	
502.3874	508.1127	3.0000	2.1883	0.7253	5.0000	8.0000	
518.3010	523.6108	3.0000	2.9638	0.3097	5.0000	8.0000	
534.5746	539.8181	1.0000	4.0000	0.2435	5.0000	8.0000	
551.8181	556.8942	2.0000	4.0000	0.0761	5.0000	8.0000	
568.8942	575.8549	5.0000	3.0901	1.9607	5.0000	8.0000	
586.9450	592.1047	4.0000	0.1602	0.1597	5.0000	8.0000	

