,Unnamed: 0,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,50,high,h001.png,24,6,pain,99,2,3,1.4,0.6
1,1,48,low,l026.png,1,1,pain,99,2,3,4.0,0.6
2,2,50,low,l041.png,35,5,pain,99,2,3,2.8,0.8
3,3,50,low,l035.png,27,5,pain,99,2,3,0.4,0.3
4,4,50,high,h037.png,28,6,pain,99,2,3,0.4,0.2
5,5,49,low,l030.png,19,3,pain,99,2,3,2.1,1.2
6,6,49,low,l021.png,23,3,pain,99,2,3,0.3,0.1
7,7,48,high,h040.png,6,2,pain,99,2,3,2.9,0.4
8,8,49,high,h005.png,14,4,pain,99,2,3,0.5,0.1
9,9,50,high,h049.png,26,6,pain,99,2,3,2.5,0.2
10,10,49,high,h010.png,12,4,pain,99,2,3,2.2,0.2
11,11,50,high,h043.png,34,6,pain,99,2,3,0.0,5.1
12,12,50,low,l008.png,29,5,pain,99,2,3,0.4,0.7
13,13,49,low,l033.png,15,3,pain,99,2,3,2.9,4.7
14,14,48,high,h051.png,4,2,pain,99,2,3,0.8,0.3
15,15,48,high,h011.png,2,2,pain,99,2,3,2.9,0.1
16,16,50,high,h016.png,30,6,pain,99,2,3,3.4,0.3
17,17,48,low,l016.png,3,1,pain,99,2,3,1.5,4.1
18,18,49,low,l052.png,21,3,pain,99,2,3,2.9,0.1
19,19,48,low,l043.png,5,1,pain,99,2,3,4.0,0.4
20,20,48,low,l036.png,9,1,pain,99,2,3,2.9,4.7
21,21,48,high,h013.png,10,2,pain,99,2,3,1.6,0.5
22,22,49,high,h047.png,20,4,pain,99,2,3,2.2,0.1
23,23,50,low,l002.png,25,5,pain,99,2,3,1.8,0.6
24,24,49,high,h020.png,22,4,pain,99,2,3,0.3,0.1
25,25,50,low,l042.png,33,5,pain,99,2,3,2.9,0.3
26,26,48,low,l014.png,11,1,pain,99,2,3,1.1,0.5
27,27,48,low,l022.png,7,1,pain,99,2,3,2.1,0.1
28,28,48,high,h054.png,8,2,pain,99,2,3,2.6,0.1
29,29,49,low,l013.png,13,3,pain,99,2,3,1.5,0.6
30,30,50,high,h032.png,32,6,pain,99,2,3,4.0,0.1
31,31,50,low,l046.png,31,5,pain,99,2,3,1.8,4.2
32,32,49,low,l049.png,17,3,pain,99,2,3,0.1,1.2
33,33,49,high,h045.png,16,4,pain,99,2,3,4.0,0.5
34,34,48,high,h055.png,0,2,pain,99,2,3,4.0,0.3
35,35,49,high,h007.png,18,4,pain,99,2,3,0.5,1.7
