,Unnamed: 0,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ISI1,ISI2
0,0,092-ch092,med,low,h015.png,23,3,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,4,3.3,0.3
1,1,043-jh043,med,low,h026.png,15,3,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,4,2.6,0.5
2,2,109-ib109,low,high,h017.png,4,2,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,4,0.1,0.1
3,3,066-mg066,high,low,l009.png,31,5,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,4,1.6,0.4
4,4,095-tv095,med,high,h025.png,18,4,vicarious,99,tv095*M.mp4,tv095t2afaff_M.mp4,4,3.4,2.0
5,5,052-dr052,med,high,h040.png,16,4,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,4,4.0,0.3
6,6,095-tv095,low,low,l026.png,3,1,vicarious,99,tv095*L.mp4,tv095t2aeunaff_L.mp4,4,3.3,0.5
7,7,109-ib109,med,low,l013.png,13,3,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,4,4.0,3.6
8,8,096-bg096,high,high,h011.png,24,6,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4,4,0.1,0.8
9,9,124-dn124,high,high,h039.png,28,6,vicarious,99,dn124*H.mp4,dn124t1aiaff_H.mp4,4,3.4,3.5
10,10,092-ch092,low,low,l051.png,7,1,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,4,1.1,0.3
11,11,052-dr052,low,low,l021.png,5,1,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,4,0.1,0.3
12,12,064-ak064,med,high,h029.png,22,4,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4,4,1.3,3.8
13,13,049-bm049,high,low,h006.png,29,5,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,4,2.7,0.3
14,14,120-kz120,low,high,h035.png,6,2,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,4,4.0,0.4
15,15,043-jh043,low,high,h036.png,0,2,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,4,1.1,3.9
16,16,052-dr052,high,high,h018.png,32,6,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,4,1.6,0.7
17,17,064-ak064,low,high,h041.png,10,2,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4,4,3.3,0.1
18,18,096-bg096,med,high,h012.png,14,4,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4,4,2.6,0.3
19,19,103-jk103,low,high,h016.png,2,2,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4,4,2.6,2.0
20,20,064-ak064,high,low,h028.png,27,5,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4,4,1.4,1.0
21,21,043-jh043,high,low,l053.png,33,5,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,4,3.3,0.3
22,22,124-dn124,low,low,l015.png,9,1,vicarious,99,dn124*L.mp4,dn124t1aaunaff_L.mp4,4,0.1,0.8
23,23,103-jk103,med,low,l044.png,21,3,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4,4,0.1,0.8
24,24,092-ch092,high,high,h044.png,26,6,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,4,1.0,0.3
25,25,120-kz120,high,high,h013.png,34,6,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,4,3.3,0.3
26,26,109-ib109,high,low,l052.png,35,5,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,4,1.1,0.1
27,27,049-bm049,low,low,h001.png,1,1,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,4,0.1,0.9
28,28,096-bg096,low,high,h047.png,8,2,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4,4,2.6,0.8
29,29,103-jk103,high,low,l002.png,25,5,vicarious,99,jk103*H.mp4,jk103t1aaaff_H.mp4,4,0.2,0.4
30,30,124-dn124,med,low,l016.png,19,3,vicarious,99,dn124*M.mp4,dn124t1aeunaff_M.mp4,4,2.6,0.3
31,31,066-mg066,low,low,h035.png,11,1,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,4,1.4,0.9
32,32,095-tv095,high,high,h022.png,30,6,vicarious,99,tv095*H.mp4,tv095t1afaff_H.mp4,4,2.6,0.1
33,33,066-mg066,med,high,h026.png,20,4,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,4,3.3,0.3
34,34,120-kz120,med,low,h012.png,17,3,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,4,1.4,0.1
35,35,049-bm049,med,high,h032.png,12,4,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,4,1.9,4.5
