,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ISI1,ISI2
0,0,2,50,different,low,l054.png,11,1,cognitive,99,1,2_50_R.jpg,2,3.0,0.5
1,1,36,150,same,low,l045.png,27,5,cognitive,99,1,36_150.jpg,2,2.8,0.4
2,2,13,100,same,high,h043.png,16,4,cognitive,99,1,13_100.jpg,2,3.0,0.1
3,3,1,50,different,high,h050.png,6,2,cognitive,99,1,1_50_R.jpg,2,3.0,0.2
4,4,2,150,same,high,h030.png,24,6,cognitive,99,1,2_150.jpg,2,0.7,0.3
5,5,42,150,different,low,l009.png,31,5,cognitive,99,1,42_150_R.jpg,2,1.2,0.7
6,6,21,50,different,low,l048.png,7,1,cognitive,99,1,21_50_R.jpg,2,4.0,0.5
7,7,5,100,same,low,l011.png,13,3,cognitive,99,1,5_100.jpg,2,1.4,1.9
8,8,29,100,different,high,h053.png,22,4,cognitive,99,1,29_100_R.jpg,2,2.5,0.2
9,9,28,150,different,low,l004.png,33,5,cognitive,99,1,28_150_R.jpg,2,0.4,3.9
10,10,5,50,same,low,l053.png,1,1,cognitive,99,1,5_50.jpg,2,0.7,0.1
11,11,28,50,different,high,h036.png,10,2,cognitive,99,1,28_50_R.jpg,2,3.0,0.1
12,12,42,50,same,high,h021.png,0,2,cognitive,99,1,42_50.jpg,2,0.7,0.4
13,13,34,150,different,high,h008.png,34,6,cognitive,99,1,34_150_R.jpg,2,1.6,0.4
14,14,34,50,same,high,h004.png,4,2,cognitive,99,1,34_50.jpg,2,2.5,3.6
15,15,28,100,different,low,l038.png,23,3,cognitive,99,1,28_100_R.jpg,2,1.1,0.5
16,16,36,100,same,high,h035.png,12,4,cognitive,99,1,36_100.jpg,2,3.1,2.0
17,17,1,100,different,low,l029.png,21,3,cognitive,99,1,1_100_R.jpg,2,0.5,0.6
18,18,42,100,same,low,l023.png,17,3,cognitive,99,1,42_100.jpg,2,0.4,0.2
19,19,24,50,same,high,h038.png,2,2,cognitive,99,1,24_50.jpg,2,4.0,0.2
20,20,13,150,different,low,l041.png,35,5,cognitive,99,1,13_150_R.jpg,2,3.2,0.6
21,21,34,100,same,high,h018.png,14,4,cognitive,99,1,34_100.jpg,2,0.1,0.5
22,22,1,150,same,high,h006.png,28,6,cognitive,99,1,1_150.jpg,2,1.5,0.3
23,23,29,150,same,low,l015.png,25,5,cognitive,99,1,29_150.jpg,2,1.2,0.1
24,24,11,100,different,low,l025.png,19,3,cognitive,99,1,11_100_R.jpg,2,2.1,0.2
25,25,21,100,same,low,l018.png,15,3,cognitive,99,1,21_100.jpg,2,3.0,0.9
26,26,13,50,same,low,l012.png,5,1,cognitive,99,1,13_50.jpg,2,3.0,0.1
27,27,11,50,different,low,l013.png,9,1,cognitive,99,1,11_50_R.jpg,2,3.0,3.9
28,28,11,150,different,high,h034.png,32,6,cognitive,99,1,11_150_R.jpg,2,3.1,1.1
29,29,24,100,different,high,h010.png,20,4,cognitive,99,1,24_100_R.jpg,2,4.0,5.0
30,30,5,150,same,high,h015.png,26,6,cognitive,99,1,5_150.jpg,2,1.5,0.4
31,31,36,50,different,high,h026.png,8,2,cognitive,99,1,36_50_R.jpg,2,1.5,0.9
32,32,2,100,different,high,h013.png,18,4,cognitive,99,1,2_100_R.jpg,2,0.7,0.3
33,33,29,50,same,low,l017.png,3,1,cognitive,99,1,29_50.jpg,2,1.4,0.3
34,34,21,150,same,low,l008.png,29,5,cognitive,99,1,21_150.jpg,2,3.0,0.1
35,35,24,150,different,high,h014.png,30,6,cognitive,99,1,24_150_R.jpg,2,0.6,4.6
