,administer,cue_type,cue_image,random_order,trial_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version
0,48,low,h005_M109_STD060.png,5,1,pain,99,1,3
1,49,low,h022_M097_STD045.png,17,3,pain,99,1,3
2,48,high,h019_M079_STD044.png,0,2,pain,99,1,3
3,50,low,h053_M101_STD038.png,25,5,pain,99,1,3
4,49,high,h003_M083_STD036.png,20,4,pain,99,1,3
5,50,high,h045_M075_STD059.png,28,6,pain,99,1,3
6,49,low,h017_M108_STD043.png,15,3,pain,99,1,3
7,48,high,h015_M098_STD036.png,4,2,pain,99,1,3
8,50,high,h048_M115_STD046.png,26,6,pain,99,1,3
9,50,low,h036_M091_STD041.png,33,5,pain,99,1,3
10,49,low,h021_M087_STD042.png,23,3,pain,99,1,3
11,50,high,h034_M073_STD052.png,30,6,pain,99,1,3
12,48,high,h021_M092_STD054.png,10,2,pain,99,1,3
13,50,high,h014_M107_STD026.png,24,6,pain,99,1,3
14,50,high,h044_M094_STD038.png,34,6,pain,99,1,3
15,48,high,h052_M082_STD052.png,8,2,pain,99,1,3
16,49,high,h043_M104_STD040.png,16,4,pain,99,1,3
17,48,high,h022_M098_STD056.png,6,2,pain,99,1,3
18,50,low,h026_M095_STD038.png,27,5,pain,99,1,3
19,48,low,h054_M096_STD047.png,9,1,pain,99,1,3
20,49,low,h049_M074_STD036.png,21,3,pain,99,1,3
21,50,low,h007_M103_STD046.png,35,5,pain,99,1,3
22,49,high,h026_M073_STD040.png,14,4,pain,99,1,3
23,48,low,h035_M094_STD035.png,1,1,pain,99,1,3
24,48,low,h020_M086_STD047.png,11,1,pain,99,1,3
25,50,low,h031_M101_STD059.png,31,5,pain,99,1,3
26,49,high,h035_M096_STD046.png,18,4,pain,99,1,3
27,49,low,h032_M082_STD040.png,13,3,pain,99,1,3
28,48,high,h018_M121_STD044.png,2,2,pain,99,1,3
29,48,low,h055_M120_STD026.png,7,1,pain,99,1,3
30,49,high,h036_M082_STD044.png,22,4,pain,99,1,3
31,48,low,h028_M099_STD051.png,3,1,pain,99,1,3
32,50,low,h056_M065_STD037.png,29,5,pain,99,1,3
33,49,low,h024_M097_STD033.png,19,3,pain,99,1,3
34,50,high,h017_M120_STD055.png,32,6,pain,99,1,3
35,49,high,h033_M104_STD048.png,12,4,pain,99,1,3
