,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ISI1,ISI2
0,0,5,100,same,low,l011.png,13,3,cognitive,99,1,5_100.jpg,3,2.5015,0.5686
1,1,21,150,same,low,l008.png,29,5,cognitive,99,1,21_150.jpg,3,4.0,0.584
2,2,36,100,same,high,h035.png,12,4,cognitive,99,1,36_100.jpg,3,2.825,0.8298
3,3,34,150,different,high,h008.png,34,6,cognitive,99,1,34_150_R.jpg,3,0.3657,0.2705
4,4,5,50,same,low,l053.png,1,1,cognitive,99,1,5_50.jpg,3,0.4283,0.1662
5,5,36,50,different,high,h026.png,8,2,cognitive,99,1,36_50_R.jpg,3,3.1703,1.2131
6,6,1,50,different,high,h050.png,6,2,cognitive,99,1,1_50_R.jpg,3,0.3357,0.0172
7,7,13,50,same,low,l012.png,5,1,cognitive,99,1,13_50.jpg,3,4.0,0.4277
8,8,42,50,same,high,h021.png,0,2,cognitive,99,1,42_50.jpg,3,0.543,0.1254
9,9,28,150,different,low,l004.png,33,5,cognitive,99,1,28_150_R.jpg,3,2.4704,0.1662
10,10,11,100,different,low,l025.png,19,3,cognitive,99,1,11_100_R.jpg,3,3.2761,0.2424
11,11,24,50,same,high,h038.png,2,2,cognitive,99,1,24_50.jpg,3,0.0391,1.7066
12,12,29,100,different,high,h053.png,22,4,cognitive,99,1,29_100_R.jpg,3,0.4283,0.7278
13,13,36,150,same,low,l045.png,27,5,cognitive,99,1,36_150.jpg,3,4.0,1.2131
14,14,13,150,different,low,l041.png,35,5,cognitive,99,1,13_150_R.jpg,3,0.8248,0.2939
15,15,13,100,same,high,h043.png,16,4,cognitive,99,1,13_100.jpg,3,4.0,0.1254
16,16,2,100,different,high,h013.png,18,4,cognitive,99,1,2_100_R.jpg,3,3.4248,0.2558
17,17,11,150,different,high,h034.png,32,6,cognitive,99,1,11_150_R.jpg,3,2.5954,0.6336
18,18,1,100,different,low,l029.png,21,3,cognitive,99,1,1_100_R.jpg,3,4.0,0.106
19,19,1,150,same,high,h006.png,28,6,cognitive,99,1,1_150.jpg,3,4.0,0.4225
20,20,2,150,same,high,h030.png,24,6,cognitive,99,1,2_150.jpg,3,4.0,1.2145
21,21,34,100,same,high,h018.png,14,4,cognitive,99,1,34_100.jpg,3,1.5672,0.524
22,22,24,100,different,high,h010.png,20,4,cognitive,99,1,24_100_R.jpg,3,2.1893,0.0584
23,23,29,50,same,low,l017.png,3,1,cognitive,99,1,29_50.jpg,3,2.9361,0.576
24,24,29,150,same,low,l015.png,25,5,cognitive,99,1,29_150.jpg,3,0.3357,0.0625
25,25,24,150,different,high,h014.png,30,6,cognitive,99,1,24_150_R.jpg,3,4.0,0.2939
26,26,28,100,different,low,l038.png,23,3,cognitive,99,1,28_100_R.jpg,3,2.1893,0.524
27,27,5,150,same,high,h015.png,26,6,cognitive,99,1,5_150.jpg,3,3.1703,0.0584
28,28,21,50,different,low,l048.png,7,1,cognitive,99,1,21_50_R.jpg,3,2.5954,0.1254
29,29,42,100,same,low,l023.png,17,3,cognitive,99,1,42_100.jpg,3,2.5954,0.5926
30,30,11,50,different,low,l013.png,9,1,cognitive,99,1,11_50_R.jpg,3,4.0,0.139
31,31,21,100,same,low,l018.png,15,3,cognitive,99,1,21_100.jpg,3,2.9361,0.7278
32,32,34,50,same,high,h004.png,4,2,cognitive,99,1,34_50.jpg,3,0.0518,1.2145
33,33,42,150,different,low,l009.png,31,5,cognitive,99,1,42_150_R.jpg,3,4.0,0.5002
34,34,2,50,different,low,l054.png,11,1,cognitive,99,1,2_50_R.jpg,3,4.0,0.2705
35,35,28,50,different,high,h036.png,10,2,cognitive,99,1,28_50_R.jpg,3,0.543,1.7066
