,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version
0,107-hs107,med,low,h022_M074_STD030.png,23,3,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,4
1,080-bn080,high,high,h041_M089_STD031.png,28,6,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4,4
2,049-bm049,med,high,h027_M085_STD044.png,22,4,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,4
3,043-jh043,med,high,h014_M111_STD027.png,14,4,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,4
4,107-hs107,low,low,h053_M072_STD027.png,5,1,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,4
5,103-jk103,med,high,h048_M109_STD065.png,20,4,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4,4
6,049-bm049,low,high,h031_M111_STD042.png,8,2,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,4
7,066-mg066,high,low,h013_M103_STD044.png,29,5,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,4
8,103-jk103,low,low,h039_M108_STD050.png,7,1,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4,4
9,120-kz120,high,low,h004_M081_STD025.png,35,5,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,4
10,092-ch092,low,low,h035_M119_STD041.png,3,1,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,4
11,103-jk103,high,low,h042_M069_STD034.png,33,5,vicarious,99,jk103*H.mp4,jk103t1aaaff_H.mp4,4
12,121-vw121,low,high,h006_M091_STD053.png,0,2,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,4
13,048-aa048,high,low,h048_M096_STD037.png,27,5,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4,4
14,121-vw121,high,high,h005_M085_STD034.png,32,6,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,4
15,080-bn080,low,high,h004_M095_STD031.png,4,2,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4,4
16,123-jh123,high,high,h001_M107_STD065.png,30,6,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4,4
17,123-jh123,med,low,h027_M104_STD033.png,21,3,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4,4
18,047-jl047,high,low,h043_M093_STD041.png,31,5,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,4
19,066-mg066,low,high,h020_M105_STD036.png,10,2,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,4
20,049-bm049,high,high,h045_M117_STD031.png,24,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,4
21,120-kz120,low,low,h012_M093_STD039.png,1,1,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,4
22,048-aa048,med,low,h023_M087_STD034.png,13,3,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4,4
23,047-jl047,med,low,h026_M099_STD056.png,15,3,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,4
24,123-jh123,low,high,h040_M112_STD041.png,2,2,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4,4
25,043-jh043,low,low,h019_M102_STD031.png,11,1,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,4
26,066-mg066,med,high,h017_M109_STD034.png,16,4,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,4
27,121-vw121,med,low,h050_M090_STD053.png,17,3,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4,4
28,080-bn080,med,low,h045_M081_STD057.png,19,3,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4,4
29,092-ch092,med,high,h025_M089_STD035.png,18,4,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,4
30,048-aa048,low,low,h054_M080_STD041.png,9,1,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4,4
31,047-jl047,low,high,h022_M115_STD033.png,6,2,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,4
32,107-hs107,high,low,h034_M088_STD038.png,25,5,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,4
33,120-kz120,med,high,h007_M100_STD036.png,12,4,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,4
34,092-ch092,high,high,h019_M108_STD035.png,34,6,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,4
35,043-jh043,high,high,h018_M082_STD048.png,26,6,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,4
