,Unnamed: 0,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ISI1,ISI2
0,0,50,high,h001.png,24,6,pain,99,1,2,3.666,0.0919
1,1,48,low,l014.png,11,1,pain,99,1,2,4.0,1.5228
2,2,48,high,h051.png,4,2,pain,99,1,2,4.0,0.0225
3,3,50,high,h016.png,30,6,pain,99,1,2,4.0,0.3456
4,4,48,high,h054.png,8,2,pain,99,1,2,1.0293,0.5801
5,5,49,low,l052.png,21,3,pain,99,1,2,1.5853,1.696
6,6,49,high,h005.png,14,4,pain,99,1,2,2.9283,0.0923
7,7,49,low,l030.png,19,3,pain,99,1,2,4.0,0.2443
8,8,50,low,l002.png,25,5,pain,99,1,2,1.4244,1.3764
9,9,49,high,h020.png,22,4,pain,99,1,2,2.7497,0.1055
10,10,48,high,h011.png,2,2,pain,99,1,2,1.3193,0.2625
11,11,49,low,l013.png,13,3,pain,99,1,2,4.0,0.1055
12,12,48,low,l036.png,9,1,pain,99,1,2,0.721,0.1673
13,13,50,high,h037.png,28,6,pain,99,1,2,1.202,0.0892
14,14,49,high,h010.png,12,4,pain,99,1,2,0.6989,0.8061
15,15,50,high,h049.png,26,6,pain,99,1,2,0.5066,1.5228
16,16,49,high,h007.png,18,4,pain,99,1,2,0.3731,0.6162
17,17,48,low,l016.png,3,1,pain,99,1,2,2.7497,0.1055
18,18,50,high,h043.png,34,6,pain,99,1,2,1.3193,0.1166
19,19,50,low,l046.png,31,5,pain,99,1,2,4.0,0.1673
20,20,50,high,h032.png,32,6,pain,99,1,2,4.0,0.0225
21,21,49,low,l021.png,23,3,pain,99,1,2,1.1332,0.7384
22,22,48,high,h013.png,10,2,pain,99,1,2,4.0,0.6162
23,23,49,low,l033.png,15,3,pain,99,1,2,0.7567,1.9467
24,24,48,low,l043.png,5,1,pain,99,1,2,2.7497,0.1922
25,25,48,high,h040.png,6,2,pain,99,1,2,4.0,0.1922
26,26,48,high,h055.png,0,2,pain,99,1,2,2.9283,0.1055
27,27,48,low,l026.png,1,1,pain,99,1,2,4.0,0.3456
28,28,50,low,l008.png,29,5,pain,99,1,2,1.202,0.1166
29,29,50,low,l041.png,35,5,pain,99,1,2,4.0,0.5191
30,30,50,low,l042.png,33,5,pain,99,1,2,1.202,0.0923
31,31,48,low,l022.png,7,1,pain,99,1,2,1.9609,0.0225
32,32,49,high,h045.png,16,4,pain,99,1,2,4.0,0.1922
33,33,50,low,l035.png,27,5,pain,99,1,2,1.6285,0.5191
34,34,49,low,l049.png,17,3,pain,99,1,2,1.1332,0.0255
35,35,49,high,h047.png,20,4,pain,99,1,2,2.324,0.0255
