,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename
0,103-jk103,low,high,h044_M077_STD044.png,0,2,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4
1,064-ak064,low,low,h042_M069_STD034.png,1,1,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4
2,052-dr052,low,high,h011_M118_STD047.png,2,2,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4
3,108-th108,low,low,h046_M079_STD053.png,3,1,vicarious,99,th108*L.mp4,th108t1aaunaff_L.mp4
4,080-bn080,low,high,h049_M099_STD059.png,4,2,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4
5,109-ib109,low,low,h029_M090_STD041.png,5,1,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4
6,123-jh123,low,high,h015_M113_STD037.png,6,2,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4
7,101-mg101,low,low,h015_M087_STD055.png,7,1,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4
8,049-bm049,low,high,h002_M119_STD036.png,8,2,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4
9,124-dn124,low,low,h025_M102_STD045.png,9,1,vicarious,99,dn124*L.mp4,dn124t1aaunaff_L.mp4
10,043-jh043,low,high,h056_M108_STD025.png,10,2,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4
11,048-aa048,low,low,h030_M097_STD053.png,11,1,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4
12,108-th108,med,high,h047_M096_STD043.png,12,4,vicarious,99,th108*M.mp4,th108t2aaunaff_M.mp4
13,123-jh123,med,low,h040_M105_STD051.png,13,3,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4
14,124-dn124,med,high,h026_M075_STD041.png,14,4,vicarious,99,dn124*M.mp4,dn124t1aeunaff_M.mp4
15,103-jk103,med,low,h035_M119_STD041.png,15,3,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4
16,080-bn080,med,high,h055_M099_STD054.png,16,4,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4
17,101-mg101,med,low,h008_M117_STD022.png,17,3,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4
18,052-dr052,med,high,h019_M108_STD035.png,18,4,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4
19,043-jh043,med,low,h054_M080_STD041.png,19,3,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4
20,048-aa048,med,high,h038_M097_STD061.png,20,4,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4
21,049-bm049,med,low,h010_M081_STD027.png,21,3,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4
22,064-ak064,med,high,h025_M089_STD035.png,22,4,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4
23,109-ib109,med,low,h014_M100_STD028.png,23,3,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4
24,124-dn124,high,high,h045_M117_STD031.png,24,6,vicarious,99,dn124*H.mp4,dn124t1aiaff_H.mp4
25,109-ib109,high,low,h002_M104_STD057.png,25,5,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4
26,064-ak064,high,high,h033_M120_STD051.png,26,6,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4
27,108-th108,high,low,h043_M093_STD041.png,27,5,vicarious,99,th108*H.mp4,th108t1aeaff_H.mp4
28,049-bm049,high,high,h028_M087_STD046.png,28,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4
29,048-aa048,high,low,h038_M113_STD042.png,29,5,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4
30,101-mg101,high,high,h048_M109_STD065.png,30,6,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4
31,080-bn080,high,low,h013_M103_STD044.png,31,5,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4
32,052-dr052,high,high,h003_M101_STD031.png,32,6,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4
33,103-jk103,high,low,h019_M102_STD031.png,33,5,vicarious,99,jk103*H.mp4,jk103t1aaaff_H.mp4
34,123-jh123,high,high,h030_M106_STD030.png,34,6,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4
35,043-jh043,high,low,h017_M078_STD029.png,35,5,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4
