,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ISI1,ISI2
0,0,6,150,different,high,h019.png,34,6,cognitive,99,2,6_150_R.jpg,5,4.0,0.0154
1,1,38,150,same,low,l042.png,29,5,cognitive,99,2,38_150.jpg,5,1.0989,1.7903
2,2,43,150,different,high,h003.png,30,6,cognitive,99,2,43_150_R.jpg,5,4.0,1.1527
3,3,30,50,different,high,h020.png,10,2,cognitive,99,2,30_50_R.jpg,5,3.3537,0.9005
4,4,15,100,same,high,h027.png,16,4,cognitive,99,2,15_100.jpg,5,1.8796,0.1427
5,5,23,100,same,low,l019.png,13,3,cognitive,99,2,23_100.jpg,5,0.6057,0.7391
6,6,9,150,same,high,h052.png,24,6,cognitive,99,2,9_150.jpg,5,4.0,0.3742
7,7,8,50,different,low,l007.png,9,1,cognitive,99,2,8_50_R.jpg,5,3.355,0.0848
8,8,35,150,different,high,h022.png,32,6,cognitive,99,2,35_150_R.jpg,5,2.6904,2.0
9,9,23,150,different,low,l024.png,35,5,cognitive,99,2,23_150_R.jpg,5,2.6904,0.0606
10,10,47,50,same,high,h031.png,2,2,cognitive,99,2,47_50.jpg,5,1.7595,0.3742
11,11,35,50,different,high,h055.png,8,2,cognitive,99,2,35_50_R.jpg,5,0.7562,1.1938
12,12,4,50,different,high,h048.png,6,2,cognitive,99,2,4_50_R.jpg,5,2.3199,0.0848
13,13,8,150,same,low,l002.png,27,5,cognitive,99,2,8_150.jpg,5,4.0,0.4139
14,14,43,100,different,high,h002.png,18,4,cognitive,99,2,43_100_R.jpg,5,3.3537,0.2206
15,15,35,100,same,high,h023.png,12,4,cognitive,99,2,35_100.jpg,5,0.45,0.3076
16,16,4,150,same,high,h037.png,26,6,cognitive,99,2,4_150.jpg,5,4.0,2.0
17,17,30,100,different,high,h009.png,22,4,cognitive,99,2,30_100_R.jpg,5,1.8796,2.0
18,18,15,50,same,low,l030.png,1,1,cognitive,99,2,15_50.jpg,5,0.8213,0.2591
19,19,9,100,same,low,l039.png,15,3,cognitive,99,2,9_100.jpg,5,0.0274,0.3326
20,20,6,100,different,low,l050.png,23,3,cognitive,99,2,6_100_R.jpg,5,0.8213,0.7542
21,21,3,50,different,low,l035.png,7,1,cognitive,99,2,3_50_R.jpg,5,4.0,0.1761
22,22,38,50,same,low,l003.png,3,1,cognitive,99,2,38_50.jpg,5,1.0632,0.1761
23,23,4,100,different,low,l026.png,19,3,cognitive,99,2,4_100_R.jpg,5,4.0,0.3326
24,24,47,150,same,high,h040.png,28,6,cognitive,99,2,47_150.jpg,5,4.0,0.0154
25,25,3,150,different,low,l001.png,33,5,cognitive,99,2,3_150_R.jpg,5,1.9419,0.0154
26,26,9,50,different,low,l046.png,11,1,cognitive,99,2,9_50_R.jpg,5,0.6057,0.0383
27,27,23,50,same,high,h029.png,0,2,cognitive,99,2,23_50.jpg,5,3.6944,0.2642
28,28,43,50,same,high,h007.png,4,2,cognitive,99,2,43_50.jpg,5,4.0,1.7663
29,29,3,100,different,high,h024.png,20,4,cognitive,99,2,3_100_R.jpg,5,0.4585,0.3076
30,30,30,150,same,low,l028.png,25,5,cognitive,99,2,30_150.jpg,5,0.5043,0.052
31,31,8,100,same,low,l020.png,17,3,cognitive,99,2,8_100.jpg,5,0.9193,0.3076
32,32,15,150,different,low,l032.png,31,5,cognitive,99,2,15_150_R.jpg,5,4.0,0.052
33,33,6,50,same,low,l056.png,5,1,cognitive,99,2,6_50.jpg,5,4.0,0.2591
34,34,38,100,different,low,l036.png,21,3,cognitive,99,2,38_100_R.jpg,5,1.9419,0.1761
35,35,47,100,same,high,h001.png,14,4,cognitive,99,2,47_100.jpg,5,0.9968,0.9005
