,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,4.7751,13.3426,24.7781,4.0,1.4,8.8,2.4,1.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h027.png
1,30.6699,32.4806,37.6043,49.5037,1.0,0.8,1.1,4.2,1.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l029.png
2,55.4326,57.5708,64.1815,75.7618,2.0,1.1,6.8,2.6,0.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l055.png
3,80.6363,87.2454,96.4051,107.7384,3.0,2.1,5.2,2.3,1.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l048.png
4,112.715,117.4901,122.9117,134.245,5.0,1.4,5.6,3.6,0.7,1.0,4.0,9.0,4.0,high_cue,med_stim,h011.png
5,138.8906,141.0289,146.3595,156.792,6.0,1.1,5.5,2.7,0.6,1.0,4.0,9.0,4.0,high_cue,high_stim,h041.png
6,161.4375,165.2519,171.8362,191.7009,4.0,1.1,2.6,10.9,2.0,1.0,4.0,9.0,4.0,high_cue,low_stim,h022.png
7,197.6477,201.46200000000002,206.3882,219.6394,6.0,1.1,0.9,5.6,7.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h001.png
8,231.351,237.9601,246.5277,259.7789,1.0,2.1,4.6,4.3,0.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l039.png
9,264.6534,271.2626,276.3862,288.2856,2.0,2.1,5.3,4.2,1.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l053.png
10,294.1774,298.9525,304.3742,314.8066,3.0,1.4,1.4,1.4,17.0,1.0,4.0,9.0,4.0,low_cue,high_stim,l028.png
11,335.8163,342.4254,352.5722,371.1622,5.0,2.1,6.1,9.6,17.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h031.png
