,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename
0,097-gf097,low,high,h002.png,0,2,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4
1,064-ak064,low,low,l039.png,1,1,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4
2,042-ll042,low,high,h048.png,2,2,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4
3,048-aa048,low,low,l011.png,3,1,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4
4,052-dr052,low,high,h049.png,4,2,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4
5,095-tv095,low,low,l005.png,5,1,vicarious,99,tv095*L.mp4,tv095t2aeunaff_L.mp4
6,109-ib109,low,high,h044.png,6,2,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4
7,047-jl047,low,low,l008.png,7,1,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4
8,103-jk103,low,high,h050.png,8,2,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4
9,121-vw121,low,low,l020.png,9,1,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4
10,096-bg096,low,high,h051.png,10,2,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4
11,115-jy115,low,low,l034.png,11,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4
12,115-jy115,med,high,h045.png,12,4,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4
13,103-jk103,med,low,l035.png,13,3,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4
14,052-dr052,med,high,h053.png,14,4,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4
15,097-gf097,med,low,l021.png,15,3,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4
16,042-ll042,med,high,h047.png,16,4,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4
17,048-aa048,med,low,l009.png,17,3,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4
18,064-ak064,med,high,h046.png,18,4,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4
19,047-jl047,med,low,l037.png,19,3,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4
20,109-ib109,med,high,h052.png,20,4,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4
21,096-bg096,med,low,l023.png,21,3,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4
22,095-tv095,med,high,h056.png,22,4,vicarious,99,tv095*M.mp4,tv095t2afaff_M.mp4
23,121-vw121,med,low,l022.png,23,3,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4
24,047-jl047,high,high,h042.png,24,6,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4
25,095-tv095,high,low,l036.png,25,5,vicarious,99,tv095*H.mp4,tv095t1afaff_H.mp4
26,064-ak064,high,high,h043.png,26,6,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4
27,052-dr052,high,low,l032.png,27,5,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4
28,109-ib109,high,high,h041.png,28,6,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4
29,048-aa048,high,low,l026.png,29,5,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4
30,042-ll042,high,high,h055.png,30,6,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4
31,121-vw121,high,low,l027.png,31,5,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4
32,097-gf097,high,high,h054.png,32,6,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4
33,115-jy115,high,low,l033.png,33,5,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4
34,096-bg096,high,high,h040.png,34,6,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4
35,103-jk103,high,low,l025.png,35,5,vicarious,99,jk103*H.mp4,jk103t1aaaff_H.mp4
