,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,2.9144,7.9839,21.393,6.0,1.9,1.1,4.4,8.5,1.0,4.0,9.0,4.0,high_cue,high_stim,h037.png
1,32.9895,35.9039,48.1134,58.2749,3.0,1.9,8.2,2.3,7.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l044.png
2,69.8714,75.9035,82.2074,92.80799999999999,6.0,2.0,2.3,1.6,6.0,1.0,4.0,9.0,4.0,high_cue,high_stim,h049.png
3,101.8731,104.7875,109.8569,123.4558,2.0,0.8,1.1,4.6,1.0,1.0,4.0,9.0,4.0,low_cue,med_stim,l035.png
4,128.4558,130.2944,136.5984,150.1972,4.0,0.8,6.3,4.6,3.7,1.0,4.0,9.0,4.0,high_cue,low_stim,h009.png
5,157.9381,163.5388,172.0109,183.7832,5.0,1.9,8.5,2.8,6.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h054.png
6,192.8483,198.4489,203.5184,214.437,3.0,1.9,5.1,3.0,3.7,1.0,4.0,9.0,4.0,low_cue,high_stim,l022.png
7,222.1779,225.5223,232.1725,244.9818,4.0,0.9,2.7,3.8,1.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h016.png
8,249.9818,252.8962,259.2001,269.4232,1.0,0.8,6.3,1.2,7.0,1.0,4.0,9.0,4.0,low_cue,low_stim,l056.png
9,279.4925,284.3063,288.8767,299.0382,5.0,1.5,4.6,2.3,1.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h004.png
10,304.8128,310.4134,321.3391,340.7999,2.0,1.9,6.9,11.6,5.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l047.png
11,350.71,356.3106,361.1539,380.6147,1.0,1.9,0.8,11.6,1.0,1.0,4.0,9.0,4.0,low_cue,low_stim,l015.png
