,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename
50,12,2,1.0,low_cue,low_stim,11.4,1.0,0.8,4.0,4.7,9.0,4.0,4.0,l037.png,7,same,7_50.jpg
62,13,2,2.0,low_cue,med_stim,2.1,1.0,2.0,4.0,4.7,9.0,4.8,4.0,l006.png,35,same,35_100.jpg
26,14,2,5.0,high_cue,med_stim,4.5,1.0,2.0,4.0,0.8,9.0,2.8,4.0,h017.png,1,diff,1_100_R.jpg
38,15,2,3.0,low_cue,high_stim,9.1,1.0,0.9,4.0,7.5,9.0,3.2,4.0,l023.png,1,same,1_150.jpg
27,16,2,5.0,high_cue,med_stim,10.6,1.0,0.7,4.0,2.5,9.0,5.9,4.0,h016.png,24,diff,24_100_R.jpg
39,17,2,3.0,low_cue,high_stim,0.9,1.0,2.1,4.0,2.2,9.0,3.1,4.0,l048.png,26,diff,26_150_R.jpg
51,18,2,1.0,low_cue,low_stim,1.3,1.0,2.0,4.0,5.3,9.0,5.9,4.0,l008.png,26,diff,26_50_R.jpg
2,19,2,6.0,high_cue,high_stim,0.9,1.0,0.7,4.0,0.8,9.0,4.9,4.0,h055.png,22,same,22_150.jpg
3,20,2,6.0,high_cue,high_stim,3.9,1.0,2.0,4.0,2.2,9.0,4.0,4.0,h044.png,24,diff,24_150_R.jpg
14,21,2,4.0,high_cue,low_stim,4.7,1.0,1.8,4.0,10.6,9.0,3.9,4.0,h021.png,20,same,20_50.jpg
15,22,2,4.0,high_cue,low_stim,1.7,1.0,1.9,4.0,4.9,9.0,5.0,4.0,h028.png,1,diff,1_50_R.jpg
63,23,2,2.0,low_cue,med_stim,2.8,1.0,0.9,4.0,7.6,9.0,6.7,4.0,l052.png,20,diff,20_100_R.jpg
