,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename
28,24,3,5.0,high_cue,med_stim,7.3,1.0,1.3,4.0,1.8,9.0,4.3,4.0,h049.png,29,same,29_100.jpg
16,25,3,4.0,high_cue,low_stim,0.8,1.0,1.9,4.0,2.3,9.0,1.3,4.0,h007.png,39,diff,39_50_R.jpg
64,26,3,2.0,low_cue,med_stim,8.6,1.0,1.9,4.0,3.2,9.0,8.9,4.0,l037.png,17,diff,17_100_R.jpg
4,27,3,6.0,high_cue,high_stim,2.7,1.0,1.9,4.0,3.2,9.0,4.8,4.0,h030.png,27,same,27_150.jpg
5,28,3,6.0,high_cue,high_stim,8.6,1.0,1.1,4.0,12.1,9.0,2.9,4.0,h044.png,8,diff,8_150_R.jpg
40,29,3,3.0,low_cue,high_stim,2.0,1.0,1.8,4.0,3.2,9.0,1.3,4.0,l036.png,12,same,12_150.jpg
29,30,3,5.0,high_cue,med_stim,3.1,1.0,1.3,4.0,6.2,9.0,5.4,4.0,h027.png,6,same,6_100.jpg
17,31,3,4.0,high_cue,low_stim,1.8,1.0,1.0,4.0,1.5,9.0,4.7,4.0,h047.png,29,same,29_50.jpg
41,32,3,3.0,low_cue,high_stim,1.8,1.0,1.2,4.0,1.8,9.0,10.0,4.0,l018.png,41,same,41_150.jpg
52,33,3,1.0,low_cue,low_stim,0.8,1.0,1.9,4.0,5.4,9.0,2.9,4.0,l043.png,6,diff,6_50_R.jpg
53,34,3,1.0,low_cue,low_stim,10.2,1.0,1.6,4.0,12.1,9.0,1.3,4.0,l001.png,17,diff,17_50_R.jpg
65,35,3,2.0,low_cue,med_stim,6.3,1.0,1.0,4.0,1.1,9.0,6.4,4.0,l047.png,12,same,12_100.jpg
