,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version
0,052-dr052,med,high,h041.png,12,4,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,3
1,103-jk103,low,low,l025.png,9,1,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4,3
2,096-bg096,high,high,h024.png,26,6,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4,3
3,124-dn124,low,low,l031.png,11,1,vicarious,99,dn124*L.mp4,dn124t1aaunaff_L.mp4,3
4,043-jh043,low,high,h022.png,8,2,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,3
5,097-gf097,med,low,l045.png,23,3,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,3
6,095-tv095,low,low,l029.png,5,1,vicarious,99,tv095*L.mp4,tv095t2aeunaff_L.mp4,3
7,124-dn124,high,low,l052.png,29,5,vicarious,99,dn124*H.mp4,dn124t1aiaff_H.mp4,3
8,109-ib109,med,high,h025.png,20,4,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,3
9,121-vw121,high,low,l021.png,31,5,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,3
10,042-ll042,high,low,l034.png,33,5,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4,3
11,042-ll042,med,low,l010.png,17,3,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4,3
12,124-dn124,med,low,l033.png,21,3,vicarious,99,dn124*M.mp4,dn124t1aeunaff_M.mp4,3
13,066-mg066,med,high,h039.png,14,4,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,3
14,095-tv095,high,low,l053.png,25,5,vicarious,99,tv095*H.mp4,tv095t1afaff_H.mp4,3
15,096-bg096,med,high,h030.png,16,4,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4,3
16,121-vw121,low,low,l048.png,1,1,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,3
17,052-dr052,high,high,h050.png,24,6,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,3
18,101-mg101,med,high,h012.png,22,4,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4,3
19,109-ib109,high,high,h038.png,30,6,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,3
20,103-jk103,high,high,h034.png,34,6,vicarious,99,jk103*H.mp4,jk103t1aaaff_H.mp4,3
21,043-jh043,med,low,l042.png,19,3,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,3
22,101-mg101,high,low,l044.png,27,5,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4,3
23,121-vw121,med,low,l019.png,15,3,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4,3
24,096-bg096,low,high,h046.png,4,2,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4,3
25,095-tv095,med,high,h023.png,18,4,vicarious,99,tv095*M.mp4,tv095t2afaff_M.mp4,3
26,043-jh043,high,high,h017.png,28,6,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,3
27,103-jk103,med,low,l001.png,13,3,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4,3
28,042-ll042,low,high,h055.png,0,2,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4,3
29,109-ib109,low,low,l016.png,7,1,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,3
30,066-mg066,low,low,l005.png,3,1,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,3
31,097-gf097,high,high,h042.png,32,6,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,3
32,052-dr052,low,high,h001.png,2,2,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,3
33,097-gf097,low,high,h021.png,6,2,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,3
34,066-mg066,high,low,l002.png,35,5,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,3
35,101-mg101,low,high,h014.png,10,2,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4,3
