,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version
0,043-jh043,high,high,h041.png,28,6,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,4
1,064-ak064,low,low,l008.png,7,1,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4,4
2,043-jh043,low,low,l039.png,1,1,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,4
3,120-kz120,low,low,l020.png,9,1,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,4
4,107-hs107,low,high,h044.png,6,2,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,4
5,120-kz120,med,high,h053.png,14,4,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,4
6,052-dr052,high,low,l036.png,25,5,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,4
7,107-hs107,high,high,h043.png,26,6,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,4
8,101-mg101,high,low,l025.png,35,5,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4,4
9,064-ak064,med,high,h047.png,16,4,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4,4
10,107-hs107,med,low,l023.png,21,3,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,4
11,108-th108,high,high,h055.png,30,6,vicarious,99,th108*H.mp4,th108t1aeaff_H.mp4,4
12,049-bm049,low,low,l005.png,5,1,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,4
13,120-kz120,high,low,l033.png,33,5,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,4
14,043-jh043,med,high,h045.png,12,4,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,4
15,092-ch092,med,low,l009.png,17,3,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,4
16,042-ll042,med,low,l022.png,23,3,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4,4
17,049-bm049,high,high,h054.png,32,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,4
18,080-bn080,high,low,l027.png,31,5,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4,4
19,047-jl047,med,low,l035.png,13,3,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,4
20,108-th108,low,high,h002.png,0,2,vicarious,99,th108*L.mp4,th108t1aaunaff_L.mp4,4
21,047-jl047,high,low,l032.png,27,5,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,4
22,064-ak064,high,high,h040.png,34,6,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4,4
23,108-th108,med,low,l037.png,19,3,vicarious,99,th108*M.mp4,th108t2aaunaff_M.mp4,4
24,052-dr052,low,high,h050.png,8,2,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,4
25,092-ch092,high,high,h042.png,24,6,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,4
26,101-mg101,med,low,l021.png,15,3,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4,4
27,080-bn080,med,high,h046.png,18,4,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4,4
28,042-ll042,low,high,h048.png,2,2,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4,4
29,101-mg101,low,low,l034.png,11,1,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4,4
30,080-bn080,low,high,h049.png,4,2,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4,4
31,092-ch092,low,high,h051.png,10,2,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,4
32,047-jl047,low,low,l011.png,3,1,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,4
33,042-ll042,high,low,l026.png,29,5,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4,4
34,049-bm049,med,high,h052.png,20,4,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,4
35,052-dr052,med,high,h056.png,22,4,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,4
