,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,5.7453,16.1818,32.2547,3.0,1.7,6.4,7.1,0.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l022.png
1,36.8628,43.5346,52.0669,68.1397,5.0,2.1,4.5,9.4,9.4,1.0,4.0,9.0,4.0,high_cue,med_stim,h047.png
2,77.1385,83.8103,88.3242,97.8707,1.0,2.1,0.5,0.5,0.7,1.0,4.0,9.0,4.0,low_cue,low_stim,l014.png
3,102.5695,104.0826,108.87299999999999,124.6979,1.0,0.5,0.8,9.1,8.5,1.0,4.0,9.0,4.0,low_cue,low_stim,l042.png
4,132.7932,139.4651,147.1612,159.1757,4.0,2.1,3.7,3.0,5.1,1.0,4.0,9.0,4.0,high_cue,low_stim,h031.png
5,163.8745,165.8832,170.3971,179.9436,5.0,1.0,0.5,2.8,0.7,1.0,4.0,9.0,4.0,high_cue,med_stim,h003.png
6,184.6424,186.6285,197.5996,210.1592,4.0,1.0,7.0,3.6,7.5,1.0,4.0,9.0,4.0,high_cue,low_stim,h030.png
7,217.30599999999998,219.8375,231.8472,242.9108,3.0,1.5,8.0,2.1,4.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l047.png
8,251.0062,257.678,269.6877,279.5332,2.0,2.1,5.7,3.1,0.7,1.0,4.0,9.0,4.0,low_cue,med_stim,l051.png
9,284.232,287.6475,302.4025,314.9621,2.0,0.9,7.7,3.6,1.5,1.0,4.0,9.0,4.0,low_cue,med_stim,l033.png
10,320.5016,326.2469,331.6262,341.1587,6.0,1.7,1.4,0.5,12.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h037.png
11,352.9531,357.1284,371.8834,387.7083,6.0,1.2,7.7,9.1,3.1,1.0,4.0,9.0,4.0,high_cue,high_stim,h001.png
