,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
12,0,2,3.0,low_cue,high_stim,1.7,6.4,7.1,0.6,1.0,4.0,9.0,4.0,l026.png,120-kz120,kz120*H.mp4,kz120t2aaaff_H.mp4
13,1,2,5.0,high_cue,med_stim,2.1,4.5,9.4,9.4,1.0,4.0,9.0,4.0,h018.png,123-jh123,jh123*M.mp4,jh123t2aaaff_M.mp4
14,2,2,1.0,low_cue,low_stim,2.1,0.5,0.5,0.7,1.0,4.0,9.0,4.0,l045.png,048-aa048,aa048*L.mp4,aa048t2aaunaff_L.mp4
15,3,2,1.0,low_cue,low_stim,0.5,0.8,9.1,8.5,1.0,4.0,9.0,4.0,l022.png,120-kz120,kz120*L.mp4,kz120t2aaunaff_L.mp4
16,4,2,4.0,high_cue,low_stim,2.1,3.7,3.0,5.1,1.0,4.0,9.0,4.0,h035.png,123-jh123,jh123*L.mp4,jh123t1aaunaff_L.mp4
17,5,2,5.0,high_cue,med_stim,1.0,0.5,2.8,0.7,1.0,4.0,9.0,4.0,h042.png,120-kz120,kz120*M.mp4,kz120t2aeaff_M.mp4
18,6,2,4.0,high_cue,low_stim,1.0,7.0,3.6,7.5,1.0,4.0,9.0,4.0,h004.png,095-tv095,tv095*L.mp4,tv095t2aeunaff_L.mp4
19,7,2,3.0,low_cue,high_stim,1.5,8.0,2.1,4.1,1.0,4.0,9.0,4.0,l051.png,066-mg066,mg066*H.mp4,mg066t1aaaff_H.mp4
20,8,2,2.0,low_cue,med_stim,2.1,5.7,3.1,0.7,1.0,4.0,9.0,4.0,l048.png,052-dr052,dr052*M.mp4,dr052t2aaaff_M.mp4
21,9,2,2.0,low_cue,med_stim,0.9,7.7,3.6,1.5,1.0,4.0,9.0,4.0,l050.png,108-th108,th108*M.mp4,th108t2aaunaff_M.mp4
22,10,2,6.0,high_cue,high_stim,1.7,1.4,0.5,12.2,1.0,4.0,9.0,4.0,h016.png,095-tv095,tv095*H.mp4,tv095t1afaff_H.mp4
23,11,2,6.0,high_cue,high_stim,1.2,7.7,9.1,3.1,1.0,4.0,9.0,4.0,h039.png,048-aa048,aa048*H.mp4,aa048t2aeaff_H.mp4
