,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,6.372000000000001,14.7979,24.8832,4.0,1.8,4.8,4.3,2.6,1.0,4.0,9.0,4.0,high_cue,low_stim,h006.png
1,31.5224,36.5997,45.0256,57.5534,6.0,1.4,4.8,3.5,0.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h004.png
2,62.3529,67.4302,75.7355,88.2633,5.0,1.4,4.3,3.5,5.9,1.0,4.0,9.0,4.0,high_cue,med_stim,h012.png
3,92.9397,94.4466,100.0279,113.99600000000001,1.0,0.5,1.6,5.0,0.7,1.0,4.0,9.0,4.0,low_cue,low_stim,l013.png
4,118.6725,125.0445,130.6258,146.7688,6.0,1.8,1.6,10.3,2.3,1.0,4.0,9.0,4.0,high_cue,high_stim,h024.png
5,153.0418,159.2542,167.2133,178.3902,4.0,1.8,4.4,5.4,11.6,1.0,4.0,9.0,4.0,high_cue,low_stim,h020.png
6,188.7851,192.2473,205.2375,215.3227,2.0,0.9,9.4,1.1,6.4,1.0,4.0,9.0,4.0,low_cue,med_stim,l036.png
7,220.5635,223.765,236.7551,246.4841,3.0,2.2,9.0,3.9,6.0,1.0,4.0,9.0,4.0,low_cue,high_stim,l016.png
8,251.2837,254.4851,262.911,276.8791,2.0,2.2,4.4,8.2,5.1,1.0,4.0,9.0,4.0,low_cue,med_stim,l002.png
9,285.9366,292.149,300.4542,312.6917,1.0,1.8,4.3,3.2,2.6,1.0,4.0,9.0,4.0,low_cue,low_stim,l028.png
10,319.33099999999996,322.5325,328.1137,340.3513,5.0,0.7,1.6,3.2,7.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h041.png
11,346.9905,352.4252,359.9059,371.0827,3.0,1.5,3.9,2.2,2.3,1.0,4.0,9.0,4.0,low_cue,high_stim,l038.png
