,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,6.2333,11.5028,22.7506,5.0,2.1,1.3,2.2,1.3,1.0,4.0,9.0,4.0,high_cue,med_stim,h010.png
1,28.0465,34.2798,45.1681,57.6696,1.0,2.1,6.9,5.9,5.8,1.0,4.0,9.0,4.0,low_cue,low_stim,l047.png
2,63.5254,66.908,77.7963,88.0335,4.0,1.0,6.9,3.6,5.2,1.0,4.0,9.0,4.0,high_cue,low_stim,h036.png
3,93.3293,99.5627,110.45100000000001,120.0491,6.0,2.1,5.2,0.6,4.5,1.0,4.0,9.0,4.0,high_cue,high_stim,h026.png
4,128.5267,134.76,140.0774,151.3057,4.0,2.1,1.3,2.2,1.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h038.png
5,156.5832,159.9658,170.8542,180.9028,5.0,1.0,5.2,1.0,6.9,1.0,4.0,9.0,4.0,high_cue,med_stim,h037.png
6,187.8795,192.2087,198.8346,214.8911,3.0,1.4,2.6,9.5,8.4,1.0,4.0,9.0,4.0,low_cue,high_stim,l030.png
7,223.3686,226.3097,232.9357,248.9922,2.0,1.9,2.6,7.1,3.0,1.0,4.0,9.0,4.0,low_cue,med_stim,l045.png
8,255.96900000000002,257.8087,264.4347,275.663,6.0,0.8,2.6,4.6,9.4,1.0,4.0,9.0,4.0,high_cue,high_stim,h004.png
9,289.0485,291.5304,297.6294,309.3637,2.0,1.5,2.1,2.7,1.3,1.0,4.0,9.0,4.0,low_cue,med_stim,l009.png
10,314.6412,317.8906,337.0864,357.0838,1.0,0.9,11.5,13.4,5.2,1.0,4.0,9.0,4.0,low_cue,low_stim,l049.png
11,362.3613,365.7439,375.5593,385.6079,3.0,1.0,5.8,1.0,1.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l026.png
