,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename
34,60,6,5.0,high_cue,med_stim,1.3,1.0,2.1,4.0,1.3,9.0,2.2,4.0,h021.png,12,diff,12_100_R.jpg
58,61,6,1.0,low_cue,low_stim,5.8,1.0,2.1,4.0,6.9,9.0,5.9,4.0,l041.png,34,diff,34_50_R.jpg
22,62,6,4.0,high_cue,low_stim,5.2,1.0,1.0,4.0,6.9,9.0,3.6,4.0,h026.png,12,diff,12_50_R.jpg
10,63,6,6.0,high_cue,high_stim,4.5,1.0,2.1,4.0,5.2,9.0,0.6,4.0,h053.png,34,same,34_150.jpg
23,64,6,4.0,high_cue,low_stim,1.3,1.0,2.1,4.0,1.3,9.0,2.2,4.0,h008.png,43,diff,43_50_R.jpg
35,65,6,5.0,high_cue,med_stim,6.9,1.0,1.0,4.0,5.2,9.0,1.0,4.0,h024.png,27,same,27_100.jpg
46,66,6,3.0,low_cue,high_stim,8.4,1.0,1.4,4.0,2.6,9.0,9.5,4.0,l021.png,31,diff,31_150_R.jpg
70,67,6,2.0,low_cue,med_stim,3.0,1.0,1.9,4.0,2.6,9.0,7.1,4.0,l027.png,29,diff,29_100_R.jpg
11,68,6,6.0,high_cue,high_stim,9.4,1.0,0.8,4.0,2.6,9.0,4.6,4.0,h031.png,41,diff,41_150_R.jpg
71,69,6,2.0,low_cue,med_stim,1.3,1.0,1.5,4.0,2.1,9.0,2.7,4.0,l053.png,8,same,8_100.jpg
59,70,6,1.0,low_cue,low_stim,5.2,1.0,0.9,4.0,11.5,9.0,13.4,4.0,l003.png,41,same,41_50.jpg
47,71,6,3.0,low_cue,high_stim,1.6,1.0,1.0,4.0,5.8,9.0,1.0,4.0,l028.png,8,same,8_150.jpg
