,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version
0,49,high,h006.png,18,4,pain,99,2,4
1,49,low,l018.png,15,3,pain,99,2,4
2,50,high,h047.png,24,6,pain,99,2,4
3,50,low,l017.png,31,5,pain,99,2,4
4,48,low,l002.png,9,1,pain,99,2,4
5,50,high,h014.png,34,6,pain,99,2,4
6,50,high,h041.png,28,6,pain,99,2,4
7,50,high,h003.png,30,6,pain,99,2,4
8,48,high,h001.png,8,2,pain,99,2,4
9,50,low,l032.png,27,5,pain,99,2,4
10,48,high,h024.png,10,2,pain,99,2,4
11,49,high,h050.png,20,4,pain,99,2,4
12,49,high,h031.png,12,4,pain,99,2,4
13,49,high,h011.png,22,4,pain,99,2,4
14,50,high,h004.png,26,6,pain,99,2,4
15,50,low,l011.png,25,5,pain,99,2,4
16,49,high,h027.png,14,4,pain,99,2,4
17,50,low,l052.png,35,5,pain,99,2,4
18,49,low,l040.png,13,3,pain,99,2,4
19,49,low,l038.png,23,3,pain,99,2,4
20,48,low,l023.png,3,1,pain,99,2,4
21,49,high,h015.png,16,4,pain,99,2,4
22,50,low,l046.png,33,5,pain,99,2,4
23,48,low,l007.png,7,1,pain,99,2,4
24,50,high,h053.png,32,6,pain,99,2,4
25,48,low,l014.png,1,1,pain,99,2,4
26,50,low,l049.png,29,5,pain,99,2,4
27,48,low,l025.png,11,1,pain,99,2,4
28,48,high,h026.png,6,2,pain,99,2,4
29,48,low,l021.png,5,1,pain,99,2,4
30,49,low,l042.png,21,3,pain,99,2,4
31,48,high,h034.png,2,2,pain,99,2,4
32,48,high,h023.png,4,2,pain,99,2,4
33,49,low,l012.png,17,3,pain,99,2,4
34,48,high,h010.png,0,2,pain,99,2,4
35,49,low,l005.png,19,3,pain,99,2,4
