,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,2.7067,8.7666,19.6078,5.0,1.7,5.7,1.8,7.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h027.png
1,27.4858,30.2527,36.3126,46.7383,6.0,0.5,2.1,1.4,4.5,1.0,4.0,9.0,4.0,high_cue,high_stim,h023.png
2,52.1564,57.2035,63.435,75.2326,3.0,1.1,2.2,2.8,3.9,1.0,4.0,9.0,4.0,low_cue,high_stim,l043.png
3,83.1107,94.2461,98.8508,109.2765,4.0,2.9,4.2,1.4,5.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h018.png
4,115.4713,126.6068,135.681,147.4786,5.0,2.9,8.7,2.8,5.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h053.png
5,153.4823,164.6178,169.5642,181.4502,1.0,2.9,0.9,2.9,10.2,1.0,4.0,9.0,4.0,low_cue,low_stim,l038.png
6,192.5036,195.2705,203.6081,225.0635,2.0,0.5,4.3,11.8,2.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l018.png
7,231.6292,236.6763,244.0055,255.8915,2.0,1.1,3.3,2.9,2.0,1.0,4.0,9.0,4.0,low_cue,med_stim,l035.png
8,261.9047,264.6114,271.9406,285.5364,6.0,1.7,3.3,4.6,2.0,1.0,4.0,9.0,4.0,high_cue,high_stim,h014.png
9,291.5496,293.7376,302.8118,319.7622,1.0,1.2,8.7,8.0,1.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l041.png
10,325.0515,326.746,336.8601,352.0007,4.0,0.7,9.7,6.1,9.6,1.0,4.0,9.0,4.0,high_cue,low_stim,h035.png
11,365.601,367.4416,372.38800000000003,389.3384,3.0,0.8,0.9,7.5,0.5,1.0,4.0,9.0,4.0,low_cue,high_stim,l030.png
