,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff
48,0,1,1.0,low_cue,low_stim,0.8,0.6,5.7,11.4,1.0,4.0,9.0,4.0,l031.png,8,diff
60,1,1,2.0,low_cue,med_stim,2.0,0.6,6.5,1.3,1.0,4.0,9.0,4.0,l013.png,35,same
24,2,1,5.0,high_cue,med_stim,2.0,4.9,2.8,4.5,1.0,4.0,9.0,4.0,h040.png,8,same
36,3,1,3.0,low_cue,high_stim,0.9,3.4,3.2,9.1,1.0,4.0,9.0,4.0,l038.png,3,same
25,4,1,5.0,high_cue,med_stim,0.7,2.5,4.2,10.6,1.0,4.0,9.0,4.0,h025.png,26,diff
37,5,1,3.0,low_cue,high_stim,2.1,2.2,4.8,0.9,1.0,4.0,9.0,4.0,l041.png,8,diff
49,6,1,1.0,low_cue,low_stim,2.0,9.4,5.9,1.3,1.0,4.0,9.0,4.0,l055.png,1,diff
0,7,1,6.0,high_cue,high_stim,0.7,0.8,3.2,1.7,1.0,4.0,9.0,4.0,h041.png,3,diff
1,8,1,6.0,high_cue,high_stim,2.0,6.3,4.0,4.7,1.0,4.0,9.0,4.0,h044.png,14,same
12,9,1,4.0,high_cue,low_stim,1.8,14.7,2.2,3.9,1.0,4.0,9.0,4.0,h018.png,14,same
13,10,1,4.0,high_cue,low_stim,1.9,0.8,6.7,0.9,1.0,4.0,9.0,4.0,h007.png,26,diff
61,11,1,2.0,low_cue,med_stim,0.9,7.6,5.0,3.6,1.0,4.0,9.0,4.0,l005.png,13,same
