,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,3.2109,7.8348,20.8438,1.0,0.8,4.7,4.0,10.6,1.0,4.0,9.0,4.0,low_cue,low_stim,l049.png
1,35.4753,41.9733,46.5972,60.4263,2.0,2.0,4.7,6.5,2.1,1.0,4.0,9.0,4.0,low_cue,med_stim,l032.png
2,65.6977,72.1957,76.9562,88.7881,5.0,2.0,0.8,4.5,4.5,1.0,4.0,9.0,4.0,high_cue,med_stim,h030.png
3,96.5074,100.0391,107.3975,119.62,3.0,0.9,3.4,4.9,9.9,1.0,4.0,9.0,4.0,low_cue,high_stim,l004.png
4,132.6909,134.3414,140.8006,154.0304,5.0,0.7,2.5,4.2,10.6,1.0,4.0,9.0,4.0,high_cue,med_stim,h049.png
5,168.662,171.7673,178.0058,190.0937,3.0,2.1,2.2,4.8,1.7,1.0,4.0,9.0,4.0,low_cue,high_stim,l024.png
6,195.0269,201.5249,210.8671,224.097,1.0,2.0,5.3,4.2,1.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l050.png
7,229.3683,231.0189,235.7794,248.0019,6.0,0.7,4.9,3.2,0.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h047.png
8,252.9352,259.4331,265.6716,278.6806,6.0,2.0,2.2,5.7,3.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h054.png
9,286.6133,292.4852,307.0462,318.1974,4.0,1.8,10.6,2.2,3.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h027.png
10,326.13,332.2622,337.0227,351.069,4.0,1.9,4.9,5.0,0.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h046.png
11,356.0022,359.534,367.0738,381.1201,2.0,0.9,7.6,5.0,3.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l015.png
