,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff
46,60,6,3.0,low_cue,high_stim,1.7,6.4,7.1,0.6,1.0,4.0,9.0,4.0,l039.png,37,same
34,61,6,5.0,high_cue,med_stim,2.1,4.5,7.1,5.0,1.0,4.0,9.0,4.0,h055.png,35,diff
58,62,6,1.0,low_cue,low_stim,2.1,0.5,2.8,5.1,1.0,4.0,9.0,4.0,l019.png,9,diff
59,63,6,1.0,low_cue,low_stim,0.5,0.8,6.8,4.1,1.0,4.0,9.0,4.0,l016.png,14,diff
22,64,6,4.0,high_cue,low_stim,2.1,3.7,3.0,5.1,1.0,4.0,9.0,4.0,h029.png,35,diff
35,65,6,5.0,high_cue,med_stim,1.0,0.5,2.8,5.1,1.0,4.0,9.0,4.0,h046.png,14,same
23,66,6,4.0,high_cue,low_stim,1.0,7.0,5.9,3.1,1.0,4.0,9.0,4.0,h016.png,3,diff
47,67,6,3.0,low_cue,high_stim,1.5,8.0,4.4,8.5,1.0,4.0,9.0,4.0,l017.png,1,diff
70,68,6,2.0,low_cue,med_stim,2.1,5.7,0.8,5.1,1.0,4.0,9.0,4.0,l004.png,26,same
71,69,6,2.0,low_cue,med_stim,0.9,7.7,3.6,1.5,1.0,4.0,9.0,4.0,l051.png,3,same
10,70,6,6.0,high_cue,high_stim,1.7,1.4,0.5,7.8,1.0,4.0,9.0,4.0,h001.png,37,diff
11,71,6,6.0,high_cue,high_stim,1.2,7.7,9.1,3.1,1.0,4.0,9.0,4.0,h021.png,35,diff
