,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,6.3223,25.9502,36.6534,2.0,2.3,12.2,5.8,8.2,1.0,4.0,9.0,4.0,low_cue,med_stim,l032.png
1,45.486000000000004,49.3204,56.0136,66.6703,3.0,1.2,2.7,5.8,2.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l044.png
2,72.8913,78.0071,82.6948,92.5733,4.0,1.8,0.7,0.9,3.8,1.0,4.0,9.0,4.0,high_cue,low_stim,h001.png
3,100.3803,102.4551,113.9495,128.7249,5.0,1.1,7.5,5.8,12.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h036.png
4,142.1166,144.322,163.9499,174.6531,6.0,1.2,12.2,1.7,0.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h031.png
5,179.5429,181.5139,188.0454,198.7486,3.0,1.0,2.5,1.7,1.5,1.0,4.0,9.0,4.0,low_cue,high_stim,l053.png
6,204.2967,210.61900000000003,217.1506,228.114,1.0,2.3,2.5,6.1,4.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l026.png
7,233.6621,239.3169,244.0045,254.968,6.0,2.0,0.7,2.0,2.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h003.png
8,261.189,264.5472,271.8245,286.5999,4.0,1.0,3.3,9.9,3.4,1.0,4.0,9.0,4.0,high_cue,low_stim,h016.png
9,293.9851,297.8196,303.1233,321.3633,2.0,1.2,1.3,9.2,1.5,1.0,4.0,9.0,4.0,low_cue,med_stim,l005.png
10,326.9114,330.7459,342.3447,351.9639,1.0,1.2,5.9,4.7,4.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l030.png
11,356.8885,362.0043,368.5359,378.155,5.0,1.8,2.5,0.6,8.2,1.0,4.0,9.0,4.0,high_cue,med_stim,h024.png
