,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename
14,12,2,4.0,high_cue,low_stim,1.9,1.0,1.4,4.0,8.8,9.0,2.4,4.0,h049.png,27,diff,27_50_R.jpg
50,13,2,1.0,low_cue,low_stim,1.9,1.0,0.8,4.0,1.1,9.0,4.2,4.0,l004.png,18,same,18_50.jpg
62,14,2,2.0,low_cue,med_stim,0.9,1.0,1.1,4.0,6.8,9.0,2.6,4.0,l035.png,42,diff,42_100_R.jpg
38,15,2,3.0,low_cue,high_stim,1.1,1.0,2.1,4.0,5.2,9.0,2.3,4.0,l001.png,42,diff,42_150_R.jpg
26,16,2,5.0,high_cue,med_stim,0.7,1.0,1.4,4.0,5.6,9.0,3.6,4.0,h053.png,11,diff,11_100_R.jpg
2,17,2,6.0,high_cue,high_stim,0.6,1.0,1.1,4.0,5.5,9.0,2.7,4.0,h002.png,35,same,35_150.jpg
15,18,2,4.0,high_cue,low_stim,2.0,1.0,1.1,4.0,2.6,9.0,10.9,4.0,h020.png,29,same,29_50.jpg
3,19,2,6.0,high_cue,high_stim,7.8,1.0,1.1,4.0,0.9,9.0,5.6,4.0,h034.png,10,diff,10_150_R.jpg
51,20,2,1.0,low_cue,low_stim,0.9,1.0,2.1,4.0,4.6,9.0,4.3,4.0,l003.png,42,diff,42_50_R.jpg
63,21,2,2.0,low_cue,med_stim,1.9,1.0,2.1,4.0,5.3,9.0,4.2,4.0,l056.png,11,same,11_100.jpg
39,22,2,3.0,low_cue,high_stim,17.0,1.0,1.4,4.0,1.4,9.0,1.4,4.0,l006.png,5,diff,5_150_R.jpg
27,23,2,5.0,high_cue,med_stim,17.1,1.0,2.1,4.0,6.1,9.0,9.6,4.0,h019.png,27,diff,27_100_R.jpg
