,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version
0,106-nm106,low,high,h011.png,10,2,vicarious,99,nm106*L.mp4,nm106t1aaunaff_L.mp4,4
1,095-tv095,low,low,l001.png,7,1,vicarious,99,tv095*L.mp4,tv095t2aeunaff_L.mp4,4
2,123-jh123,med,high,h010.png,16,4,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4,4
3,109-ib109,high,low,l004.png,31,5,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,4
4,123-jh123,low,high,h006.png,0,2,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4,4
5,103-jk103,high,low,l038.png,35,5,vicarious,99,jk103*H.mp4,jk103t1aaaff_H.mp4,4
6,115-jy115,med,high,h038.png,18,4,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4,4
7,106-nm106,med,low,l003.png,19,3,vicarious,99,nm106*M.mp4,nm106t2aaunaff_M.mp4,4
8,121-vw121,low,high,h013.png,4,2,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,4
9,095-tv095,high,high,h016.png,34,6,vicarious,99,tv095*H.mp4,tv095t1afaff_H.mp4,4
10,124-dn124,high,high,h029.png,24,6,vicarious,99,dn124*H.mp4,dn124t1aiaff_H.mp4,4
11,115-jy115,low,low,l029.png,5,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4,4
12,096-bg096,low,high,h007.png,6,2,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4,4
13,066-mg066,med,low,l013.png,23,3,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,4
14,109-ib109,med,low,l002.png,17,3,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,4
15,103-jk103,low,low,l049.png,1,1,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4,4
16,124-dn124,low,low,l015.png,9,1,vicarious,99,dn124*L.mp4,dn124t1aaunaff_L.mp4,4
17,123-jh123,high,high,h001.png,26,6,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4,4
18,066-mg066,high,low,l007.png,25,5,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,4
19,096-bg096,med,low,l017.png,21,3,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4,4
20,097-gf097,low,high,h039.png,8,2,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,4
21,115-jy115,high,low,l012.png,29,5,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4,4
22,097-gf097,med,low,l016.png,15,3,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,4
23,109-ib109,low,low,l048.png,3,1,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,4
24,103-jk103,med,high,h028.png,22,4,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4,4
25,048-aa048,high,high,h017.png,32,6,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4,4
26,121-vw121,med,high,h004.png,14,4,vicarious,99,vw121*M.mp4,vw121t1aiaff_M.mp4,4
27,097-gf097,high,low,l010.png,33,5,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,4
28,048-aa048,low,low,l014.png,11,1,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4,4
29,095-tv095,med,high,h014.png,20,4,vicarious,99,tv095*M.mp4,tv095t2afaff_M.mp4,4
30,121-vw121,high,high,h015.png,28,6,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,4
31,048-aa048,med,high,h005.png,12,4,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4,4
32,096-bg096,high,low,l006.png,27,5,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4,4
33,106-nm106,high,high,h003.png,30,6,vicarious,99,nm106*H.mp4,nm106t1afaff_H.mp4,4
34,124-dn124,med,low,l028.png,13,3,vicarious,99,dn124*M.mp4,dn124t1aeunaff_M.mp4,4
35,066-mg066,low,high,h012.png,2,2,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,4
