,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version
0,4,50,different,low,l032.png,11,1,cognitive,99,2,4_50_R.jpg,4
1,33,150,same,high,h018.png,24,6,cognitive,99,2,33_150.jpg,4
2,15,100,different,low,l021.png,19,3,cognitive,99,2,15_100_R.jpg,4
3,33,50,same,low,l050.png,5,1,cognitive,99,2,33_50.jpg,4
4,12,100,different,high,h016.png,18,4,cognitive,99,2,12_100_R.jpg,4
5,25,100,same,low,l049.png,15,3,cognitive,99,2,25_100.jpg,4
6,6,50,different,high,h056.png,10,2,cognitive,99,2,6_50_R.jpg,4
7,12,50,same,low,l041.png,3,1,cognitive,99,2,12_50.jpg,4
8,42,100,different,high,h048.png,20,4,cognitive,99,2,42_100_R.jpg,4
9,20,150,same,high,h044.png,26,6,cognitive,99,2,20_150.jpg,4
10,42,50,same,high,h024.png,2,2,cognitive,99,2,42_50.jpg,4
11,25,50,different,low,l035.png,7,1,cognitive,99,2,25_50_R.jpg,4
12,15,50,same,high,h013.png,4,2,cognitive,99,2,15_50.jpg,4
13,36,150,same,low,l007.png,27,5,cognitive,99,2,36_150.jpg,4
14,4,150,different,low,l004.png,35,5,cognitive,99,2,4_150_R.jpg,4
15,18,50,different,low,l047.png,9,1,cognitive,99,2,18_50_R.jpg,4
16,15,150,different,low,l003.png,31,5,cognitive,99,2,15_150_R.jpg,4
17,6,150,same,low,l036.png,25,5,cognitive,99,2,6_150.jpg,4
18,36,100,same,high,h003.png,16,4,cognitive,99,2,36_100.jpg,4
19,9,100,same,high,h038.png,12,4,cognitive,99,2,9_100.jpg,4
20,42,150,different,high,h054.png,34,6,cognitive,99,2,42_150_R.jpg,4
21,20,50,same,low,l001.png,1,1,cognitive,99,2,20_50.jpg,4
22,12,150,different,high,h015.png,30,6,cognitive,99,2,12_150_R.jpg,4
23,36,50,different,high,h008.png,6,2,cognitive,99,2,36_50_R.jpg,4
24,33,100,same,low,l053.png,17,3,cognitive,99,2,33_100.jpg,4
25,18,150,same,low,l005.png,29,5,cognitive,99,2,18_150.jpg,4
26,25,150,same,high,h039.png,28,6,cognitive,99,2,25_150.jpg,4
27,18,100,different,low,l037.png,23,3,cognitive,99,2,18_100_R.jpg,4
28,22,150,different,high,h049.png,32,6,cognitive,99,2,22_150_R.jpg,4
29,22,50,same,high,h006.png,0,2,cognitive,99,2,22_50.jpg,4
30,22,100,same,low,l018.png,13,3,cognitive,99,2,22_100.jpg,4
31,6,100,different,high,h036.png,22,4,cognitive,99,2,6_100_R.jpg,4
32,4,100,same,high,h014.png,14,4,cognitive,99,2,4_100.jpg,4
33,9,50,different,high,h040.png,8,2,cognitive,99,2,9_50_R.jpg,4
34,20,100,different,low,l011.png,21,3,cognitive,99,2,20_100_R.jpg,4
35,9,150,different,low,l034.png,33,5,cognitive,99,2,9_150_R.jpg,4
