,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,3.2046,10.7359,29.0428,4.0,0.9,7.3,9.3,5.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h044.png
1,38.3192,43.3435,51.5072,68.4571,2.0,1.6,8.0,7.9,8.8,1.0,4.0,9.0,4.0,low_cue,med_stim,l015.png
2,77.7335,80.6471,88.1784,100.4479,6.0,1.9,3.5,3.8,5.3,1.0,4.0,9.0,4.0,high_cue,high_stim,h032.png
3,109.7243,116.5523,122.5302,132.7835,3.0,2.3,2.0,1.3,3.0,1.0,4.0,9.0,4.0,low_cue,high_stim,l021.png
4,139.8278,142.7414,150.9051,163.0089,4.0,0.8,8.0,3.6,4.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h010.png
5,167.8363,171.7656,177.7435,188.7726,5.0,1.1,2.0,2.0,6.7,1.0,4.0,9.0,4.0,high_cue,med_stim,h004.png
6,195.9363,199.8656,207.7291,218.7583,3.0,1.1,3.9,2.0,6.7,1.0,4.0,9.0,4.0,low_cue,high_stim,l044.png
7,225.922,230.6223,237.6236,249.7274,5.0,1.5,3.0,3.6,3.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h049.png
8,256.7717,263.1637,269.153,283.8063,1.0,2.1,5.8,5.7,5.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l056.png
9,293.0827,295.3407,301.3186,313.5881,1.0,1.3,2.0,3.8,0.5,1.0,4.0,9.0,4.0,low_cue,low_stim,l001.png
10,318.1266,324.5186,331.0085,345.3355,6.0,2.1,6.3,5.3,4.4,1.0,4.0,9.0,4.0,high_cue,high_stim,h022.png
11,350.1976,352.4556,358.4449,372.7719,2.0,1.3,2.0,5.8,0.8,1.0,4.0,9.0,4.0,low_cue,med_stim,l033.png
