,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,1.631,6.9983,18.9659,6.0,0.6,5.9,3.0,6.3,1.0,4.0,9.0,4.0,high_cue,high_stim,h002.png
1,23.8249,25.7604,32.5182,53.4175,1.0,0.9,7.3,7.8,8.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l040.png
2,66.2883,70.4473,78.9169,98.4841,4.0,1.3,9.0,6.9,7.7,1.0,4.0,9.0,4.0,high_cue,low_stim,h033.png
3,104.7566,106.6922,111.7615,124.2826,5.0,0.9,1.1,3.5,6.7,1.0,4.0,9.0,4.0,high_cue,med_stim,h020.png
4,129.5979,136.0269,141.3943,157.1444,1.0,2.2,5.9,6.8,2.8,1.0,4.0,9.0,4.0,low_cue,low_stim,l032.png
5,163.9567,169.2313,174.5987,185.08,3.0,1.7,1.4,1.5,1.3,1.0,4.0,9.0,4.0,low_cue,high_stim,l031.png
6,190.3953,194.5543,200.2963,210.8975,2.0,1.3,1.7,1.6,1.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l038.png
7,216.7533,219.165,224.2343,239.4529,2.0,1.4,1.1,6.2,2.3,1.0,4.0,9.0,4.0,low_cue,med_stim,l044.png
8,245.7254,252.1544,260.6234,275.8419,3.0,2.2,4.5,6.2,2.3,1.0,4.0,9.0,4.0,low_cue,high_stim,l005.png
9,282.0937,288.2543,295.2577,311.0078,4.0,2.1,3.0,4.5,6.1,1.0,4.0,9.0,4.0,high_cue,low_stim,h001.png
10,315.7246,320.9992,329.4689,343.9945,5.0,1.7,4.5,5.5,6.6,1.0,4.0,9.0,4.0,high_cue,med_stim,h035.png
11,349.2144,354.4891,362.7253,372.2714,6.0,1.7,8.7,0.5,1.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h056.png
