,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
0,0,1,3.0,low_cue,high_stim,1.7,6.4,7.1,0.6,1.0,4.0,9.0,4.0,l005.png,047-jl047,jl047*H.mp4,jl047t1aiaff_H.mp4
1,1,1,5.0,high_cue,med_stim,2.1,4.5,7.1,5.0,1.0,4.0,9.0,4.0,h018.png,042-ll042,ll042*M.mp4,ll042t1afunaff_M.mp4
2,2,1,1.0,low_cue,low_stim,2.1,0.5,2.8,5.1,1.0,4.0,9.0,4.0,l047.png,047-jl047,jl047*L.mp4,jl047t1aaunaff_L.mp4
3,3,1,1.0,low_cue,low_stim,0.5,0.8,6.8,4.1,1.0,4.0,9.0,4.0,l002.png,097-gf097,gf097*L.mp4,gf097t2aiunaff_L.mp4
4,4,1,4.0,high_cue,low_stim,2.1,3.7,3.0,5.1,1.0,4.0,9.0,4.0,h039.png,042-ll042,ll042*L.mp4,ll042t1aaunaff_L.mp4
5,5,1,5.0,high_cue,med_stim,1.0,0.5,2.8,5.1,1.0,4.0,9.0,4.0,h013.png,064-ak064,ak064*M.mp4,ak064t1aiaff_M.mp4
6,6,1,4.0,high_cue,low_stim,1.0,7.0,5.9,3.1,1.0,4.0,9.0,4.0,h022.png,124-dn124,dn124*L.mp4,dn124t1aaunaff_L.mp4
7,7,1,3.0,low_cue,high_stim,1.5,8.0,4.4,8.5,1.0,4.0,9.0,4.0,l040.png,106-nm106,nm106*H.mp4,nm106t1afaff_H.mp4
8,8,1,2.0,low_cue,med_stim,2.1,5.7,0.8,5.1,1.0,4.0,9.0,4.0,l031.png,047-jl047,jl047*M.mp4,jl047t1aiunaff_M.mp4
9,9,1,2.0,low_cue,med_stim,0.9,7.7,3.6,1.5,1.0,4.0,9.0,4.0,l037.png,097-gf097,gf097*M.mp4,gf097t1aiaff_M.mp4
10,10,1,6.0,high_cue,high_stim,1.7,1.4,0.5,7.8,1.0,4.0,9.0,4.0,h048.png,107-hs107,hs107*H.mp4,hs107t1afaff_H.mp4
11,11,1,6.0,high_cue,high_stim,1.2,7.7,9.1,3.1,1.0,4.0,9.0,4.0,h038.png,043-jh043,jh043*H.mp4,jh043t2aeaff_H.mp4
