,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
12,0,2,3.0,low_cue,high_stim,1.6,5.2,3.0,2.2,1.0,4.0,9.0,4.0,l049.png,042-ll042,ll042*H.mp4,ll042t1aiaff_H.mp4
13,1,2,5.0,high_cue,med_stim,1.3,6.3,6.5,4.6,1.0,4.0,9.0,4.0,h045.png,043-jh043,jh043*M.mp4,jh043t2aeunaff_M.mp4
14,2,2,1.0,low_cue,low_stim,1.3,0.9,1.4,1.2,1.0,4.0,9.0,4.0,l034.png,106-nm106,nm106*L.mp4,nm106t1aaunaff_L.mp4
15,3,2,4.0,high_cue,low_stim,1.6,1.4,6.5,7.9,1.0,4.0,9.0,4.0,h047.png,064-ak064,ak064*L.mp4,ak064t1afunaff_L.mp4
16,4,2,2.0,low_cue,med_stim,1.6,6.3,1.9,4.9,1.0,4.0,9.0,4.0,l022.png,107-hs107,hs107*M.mp4,hs107t2aaaff_M.mp4
17,5,2,6.0,high_cue,high_stim,1.3,6.2,3.8,4.9,1.0,4.0,9.0,4.0,h040.png,097-gf097,gf097*H.mp4,gf097t2aaunaff_H.mp4
18,6,2,1.0,low_cue,low_stim,1.4,6.3,9.9,4.8,1.0,4.0,9.0,4.0,l007.png,043-jh043,jh043*L.mp4,jh043t2aaunaff_L.mp4
19,7,2,3.0,low_cue,high_stim,1.7,2.3,6.8,1.4,1.0,4.0,9.0,4.0,l001.png,124-dn124,dn124*H.mp4,dn124t1aiaff_H.mp4
20,8,2,6.0,high_cue,high_stim,2.2,4.5,3.5,1.3,1.0,4.0,9.0,4.0,h042.png,064-ak064,ak064*H.mp4,ak064t1aaaff_H.mp4
21,9,2,5.0,high_cue,med_stim,1.9,6.2,3.1,9.8,1.0,4.0,9.0,4.0,h024.png,106-nm106,nm106*M.mp4,nm106t2aaunaff_M.mp4
22,10,2,4.0,high_cue,low_stim,1.4,2.3,4.7,2.2,1.0,4.0,9.0,4.0,h046.png,107-hs107,hs107*L.mp4,hs107t2aeunaff_L.mp4
23,11,2,2.0,low_cue,med_stim,0.9,6.1,2.7,8.9,1.0,4.0,9.0,4.0,l043.png,124-dn124,dn124*M.mp4,dn124t1aeunaff_M.mp4
