,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename
56,48,5,1.0,low_cue,low_stim,7.8,1.0,0.7,4.0,4.8,9.0,1.0,4.0,l017.png,24,diff,24_50_R.jpg
68,49,5,2.0,low_cue,med_stim,0.6,1.0,1.3,4.0,1.8,9.0,3.5,4.0,l002.png,45,diff,45_100_R.jpg
57,50,5,1.0,low_cue,low_stim,1.0,1.0,1.9,4.0,4.0,9.0,5.1,4.0,l006.png,9,same,9_50.jpg
44,51,5,3.0,low_cue,high_stim,1.0,1.0,1.4,4.0,2.1,9.0,3.5,4.0,l016.png,9,same,9_150.jpg
32,52,5,5.0,high_cue,med_stim,3.7,1.0,1.9,4.0,4.9,9.0,2.0,4.0,h024.png,45,same,45_100.jpg
8,53,5,6.0,high_cue,high_stim,7.1,1.0,0.9,4.0,8.0,9.0,7.4,4.0,h052.png,24,same,24_150.jpg
33,54,5,5.0,high_cue,med_stim,6.0,1.0,1.8,4.0,3.2,9.0,1.0,4.0,h027.png,34,diff,34_100_R.jpg
20,55,5,4.0,high_cue,low_stim,1.0,1.0,1.9,4.0,6.4,9.0,1.2,4.0,h037.png,48,same,48_50.jpg
21,56,5,4.0,high_cue,low_stim,4.7,1.0,1.4,4.0,6.9,9.0,7.1,4.0,h002.png,43,same,43_50.jpg
9,57,5,6.0,high_cue,high_stim,1.0,1.0,2.2,4.0,3.0,9.0,6.3,4.0,h044.png,23,same,23_150.jpg
69,58,5,2.0,low_cue,med_stim,10.9,1.0,0.9,4.0,8.3,9.0,3.9,4.0,l031.png,34,same,34_100.jpg
45,59,5,3.0,low_cue,high_stim,9.1,1.0,1.8,4.0,0.6,9.0,12.0,4.0,l042.png,22,same,22_150.jpg
