,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff
32,48,5,5.0,high_cue,med_stim,1.7,2.1,1.8,7.0,1.0,4.0,9.0,4.0,h043.png,5,same
8,49,5,6.0,high_cue,high_stim,0.5,2.1,1.4,1.4,1.0,4.0,9.0,4.0,h031.png,7,diff
44,50,5,3.0,low_cue,high_stim,1.1,2.2,2.8,3.9,1.0,4.0,9.0,4.0,l010.png,24,diff
20,51,5,4.0,high_cue,low_stim,2.9,4.2,1.4,5.3,1.0,4.0,9.0,4.0,h047.png,42,same
33,52,5,5.0,high_cue,med_stim,2.9,5.1,2.8,2.0,1.0,4.0,9.0,4.0,h021.png,7,diff
56,53,5,1.0,low_cue,low_stim,2.9,0.9,2.9,10.2,1.0,4.0,9.0,4.0,l046.png,25,diff
68,54,5,2.0,low_cue,med_stim,0.5,7.9,11.8,2.6,1.0,4.0,9.0,4.0,l047.png,29,same
69,55,5,2.0,low_cue,med_stim,1.1,6.9,2.9,2.0,1.0,4.0,9.0,4.0,l054.png,42,diff
9,56,5,6.0,high_cue,high_stim,1.7,6.9,4.6,2.0,1.0,4.0,9.0,4.0,h001.png,45,same
57,57,5,1.0,low_cue,low_stim,1.2,5.1,8.0,4.4,1.0,4.0,9.0,4.0,l004.png,42,diff
21,58,5,4.0,high_cue,low_stim,0.7,6.1,6.1,12.7,1.0,4.0,9.0,4.0,h056.png,36,diff
45,59,5,3.0,low_cue,high_stim,0.8,4.5,7.5,0.5,1.0,4.0,9.0,4.0,l011.png,25,diff
