,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version
0,48,high,h020.png,10,2,pain,99,1,3
1,48,low,l050.png,5,1,pain,99,1,3
2,50,low,l036.png,25,5,pain,99,1,3
3,48,high,h055.png,8,2,pain,99,1,3
4,50,low,l006.png,35,5,pain,99,1,3
5,49,high,h038.png,16,4,pain,99,1,3
6,49,high,h013.png,14,4,pain,99,1,3
7,50,high,h024.png,28,6,pain,99,1,3
8,49,low,l027.png,19,3,pain,99,1,3
9,49,high,h027.png,12,4,pain,99,1,3
10,50,high,h029.png,26,6,pain,99,1,3
11,50,high,h011.png,32,6,pain,99,1,3
12,49,low,l020.png,17,3,pain,99,1,3
13,48,high,h051.png,2,2,pain,99,1,3
14,48,low,l049.png,11,1,pain,99,1,3
15,49,low,l029.png,15,3,pain,99,1,3
16,49,high,h044.png,22,4,pain,99,1,3
17,48,low,l043.png,3,1,pain,99,1,3
18,48,high,h026.png,4,2,pain,99,1,3
19,49,high,h033.png,20,4,pain,99,1,3
20,49,low,l010.png,21,3,pain,99,1,3
21,50,low,l028.png,27,5,pain,99,1,3
22,49,low,l048.png,23,3,pain,99,1,3
23,48,low,l052.png,7,1,pain,99,1,3
24,50,low,l035.png,33,5,pain,99,1,3
25,50,high,h048.png,24,6,pain,99,1,3
26,50,low,l051.png,31,5,pain,99,1,3
27,50,high,h022.png,30,6,pain,99,1,3
28,48,low,l005.png,9,1,pain,99,1,3
29,50,high,h043.png,34,6,pain,99,1,3
30,48,high,h050.png,6,2,pain,99,1,3
31,48,high,h016.png,0,2,pain,99,1,3
32,49,high,h014.png,18,4,pain,99,1,3
33,49,low,l042.png,13,3,pain,99,1,3
34,48,low,l039.png,1,1,pain,99,1,3
35,50,low,l004.png,29,5,pain,99,1,3
