,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,5.3044,9.9429,20.9127,6.0,1.6,0.6,2.0,2.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h020.png
1,27.8533,34.3981,44.2752,54.8476,3.0,2.0,5.9,4.3,4.4,1.0,4.0,9.0,4.0,low_cue,high_stim,l020.png
2,59.986999999999995,62.3468,66.9426,78.7192,3.0,1.4,0.6,2.8,0.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l011.png
3,83.3552,88.0341,92.8438,105.7848,6.0,1.4,1.2,3.9,9.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h047.png
4,115.6928,122.2377,136.9982,147.5706,1.0,2.0,11.2,1.6,0.6,1.0,4.0,9.0,4.0,low_cue,low_stim,l012.png
5,152.2066,158.7514,182.4526,201.1207,4.0,2.0,20.1,12.4,6.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h014.png
6,208.7259,212.9793,219.9473,232.8883,2.0,1.2,3.0,3.9,6.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l014.png
7,240.4935,245.798,250.3938,261.5687,5.0,1.6,1.0,4.9,7.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h031.png
8,272.7112,274.5672,280.212,291.6224,5.0,0.9,1.6,2.4,5.9,1.0,4.0,9.0,4.0,high_cue,med_stim,h006.png
9,301.5305,308.0753,313.7201,325.4967,2.0,2.0,1.6,5.5,5.1,1.0,4.0,9.0,4.0,low_cue,med_stim,l028.png
10,331.3283,333.1843,343.0613,354.8379,4.0,0.9,6.3,2.8,2.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h002.png
11,361.1597,363.0348,367.8446,381.8859,1.0,0.9,0.8,7.7,2.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l003.png
