,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
0,0,1,4.0,high_cue,low_stim,1.4,8.8,2.4,1.9,1.0,4.0,9.0,4.0,h026.png,042-ll042,ll042*L.mp4,ll042t1aaunaff_L.mp4
1,1,1,1.0,low_cue,low_stim,0.8,1.1,4.2,1.9,1.0,4.0,9.0,4.0,l036.png,121-vw121,vw121*L.mp4,vw121t1aeaff_L.mp4
2,2,1,2.0,low_cue,med_stim,1.1,6.8,2.6,0.9,1.0,4.0,9.0,4.0,l024.png,121-vw121,vw121*M.mp4,vw121t1aiaff_M.mp4
3,3,1,3.0,low_cue,high_stim,2.1,5.2,2.3,1.1,1.0,4.0,9.0,4.0,l023.png,108-th108,th108*H.mp4,th108t1aeaff_H.mp4
4,4,1,5.0,high_cue,med_stim,1.4,5.6,3.6,0.7,1.0,4.0,9.0,4.0,h041.png,042-ll042,ll042*M.mp4,ll042t1afunaff_M.mp4
5,5,1,6.0,high_cue,high_stim,1.1,5.5,2.7,0.6,1.0,4.0,9.0,4.0,h022.png,121-vw121,vw121*H.mp4,vw121t1aaaff_H.mp4
6,6,1,4.0,high_cue,low_stim,1.1,2.6,10.9,2.0,1.0,4.0,9.0,4.0,h005.png,124-dn124,dn124*L.mp4,dn124t1aaunaff_L.mp4
7,7,1,6.0,high_cue,high_stim,1.1,0.9,5.6,7.8,1.0,4.0,9.0,4.0,h037.png,124-dn124,dn124*H.mp4,dn124t1aiaff_H.mp4
8,8,1,1.0,low_cue,low_stim,2.1,4.6,4.3,0.9,1.0,4.0,9.0,4.0,l031.png,052-dr052,dr052*L.mp4,dr052t1aeunaff_L.mp4
9,9,1,2.0,low_cue,med_stim,2.1,5.3,4.2,1.9,1.0,4.0,9.0,4.0,l027.png,097-gf097,gf097*M.mp4,gf097t1aiaff_M.mp4
10,10,1,3.0,low_cue,high_stim,1.4,1.4,1.4,17.0,1.0,4.0,9.0,4.0,l028.png,097-gf097,gf097*H.mp4,gf097t2aaunaff_H.mp4
11,11,1,5.0,high_cue,med_stim,2.1,6.1,9.6,17.1,1.0,4.0,9.0,4.0,h030.png,080-bn080,bn080*M.mp4,bn080t1aeaff_M.mp4
