,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,3.404,9.4098,21.3075,2.0,1.0,4.7,2.9,2.7,1.0,4.0,9.0,4.0,low_cue,med_stim,l038.png
1,27.9784,32.2873,41.0963,52.0089,1.0,1.3,7.5,1.9,1.7,1.0,4.0,9.0,4.0,low_cue,low_stim,l048.png
2,57.4992,61.8081,70.6171,81.7302,3.0,1.3,4.8,2.1,11.7,1.0,4.0,9.0,4.0,low_cue,high_stim,l015.png
3,97.4542,100.2511,106.81,118.7077,4.0,1.8,2.6,5.2,3.4,1.0,4.0,9.0,4.0,high_cue,low_stim,h017.png
4,125.9239,127.6644,138.0094,149.907,5.0,0.7,9.0,5.2,6.9,1.0,4.0,9.0,4.0,high_cue,med_stim,h046.png
5,160.7657,163.6767,170.2356,182.1333,6.0,0.8,2.6,5.2,6.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h052.png
6,192.9919,199.1292,206.7297,225.22099999999998,4.0,2.0,3.6,9.5,2.0,1.0,4.0,9.0,4.0,high_cue,low_stim,h042.png
7,231.1716,233.9213,240.8166,250.7707,3.0,1.7,2.9,1.0,2.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l014.png
8,256.7213,262.8585,268.7835,287.2748,6.0,2.0,1.9,11.8,5.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h014.png
9,296.2595,300.5683,308.1689,319.0815,2.0,1.3,3.6,1.9,2.0,1.0,4.0,9.0,4.0,low_cue,med_stim,l053.png
10,325.0321,331.1694,338.7699,350.8392,5.0,2.0,6.3,5.4,2.2,1.0,4.0,9.0,4.0,high_cue,med_stim,h033.png
11,356.7898,362.92699999999996,368.8511,379.8353,1.0,2.0,4.6,2.0,6.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l025.png
