,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
12,0,2,4.0,high_cue,low_stim,1.2,4.7,5.2,5.1,1.0,4.0,9.0,4.0,h040.png,121-vw121,vw121*L.mp4,vw121t1aeaff_L.mp4
13,1,2,2.0,low_cue,med_stim,1.4,1.4,3.1,0.6,1.0,4.0,9.0,4.0,l054.png,043-jh043,jh043*M.mp4,jh043t2aeunaff_M.mp4
14,2,2,4.0,high_cue,low_stim,1.2,7.0,1.5,5.2,1.0,4.0,9.0,4.0,h003.png,109-ib109,ib109*L.mp4,ib109t1aiunaff_L.mp4
15,3,2,2.0,low_cue,med_stim,2.5,2.6,6.2,1.1,1.0,4.0,9.0,4.0,l045.png,047-jl047,jl047*M.mp4,jl047t1aiunaff_M.mp4
16,4,2,6.0,high_cue,high_stim,0.7,0.6,6.2,1.1,1.0,4.0,9.0,4.0,h054.png,092-ch092,ch092*H.mp4,ch092t2aiaff_H.mp4
17,5,2,1.0,low_cue,low_stim,2.5,8.2,5.2,0.6,1.0,4.0,9.0,4.0,l029.png,066-mg066,mg066*L.mp4,mg066t2aeunaff_L.mp4
18,6,2,3.0,low_cue,high_stim,1.2,8.2,6.3,1.6,1.0,4.0,9.0,4.0,l001.png,047-jl047,jl047*H.mp4,jl047t1aiaff_H.mp4
19,7,2,1.0,low_cue,low_stim,1.2,0.6,6.3,2.2,1.0,4.0,9.0,4.0,l042.png,092-ch092,ch092*L.mp4,ch092t2aeaff_L.mp4
20,8,2,6.0,high_cue,high_stim,2.5,2.6,3.1,9.8,1.0,4.0,9.0,4.0,h001.png,121-vw121,vw121*H.mp4,vw121t1aaaff_H.mp4
21,9,2,3.0,low_cue,high_stim,1.4,1.6,1.5,6.2,1.0,4.0,9.0,4.0,l041.png,096-bg096,bg096*H.mp4,bg096t1aeaff_H.mp4
22,10,2,5.0,high_cue,med_stim,1.4,9.7,6.0,14.5,1.0,4.0,9.0,4.0,h033.png,092-ch092,ch092*M.mp4,ch092t2aaaff_M.mp4
23,11,2,5.0,high_cue,med_stim,1.0,7.0,3.2,5.8,1.0,4.0,9.0,4.0,h022.png,096-bg096,bg096*M.mp4,bg096t2aaaff_M.mp4
