,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
0,0,1,4.0,high_cue,low_stim,1.8,4.8,4.3,2.6,1.0,4.0,9.0,4.0,h036.png,096-bg096,bg096*L.mp4,bg096t2afunaff_L.mp4
1,1,1,6.0,high_cue,high_stim,1.4,4.8,3.5,0.8,1.0,4.0,9.0,4.0,h011.png,101-mg101,mg101*H.mp4,mg101t2aeaff_H.mp4
2,2,1,5.0,high_cue,med_stim,1.4,4.3,3.5,5.9,1.0,4.0,9.0,4.0,h019.png,109-ib109,ib109*M.mp4,ib109t1afaff_M.mp4
3,3,1,1.0,low_cue,low_stim,0.5,1.6,5.0,0.7,1.0,4.0,9.0,4.0,l013.png,109-ib109,ib109*L.mp4,ib109t1aiunaff_L.mp4
4,4,1,6.0,high_cue,high_stim,1.8,1.6,10.3,2.3,1.0,4.0,9.0,4.0,h024.png,095-tv095,tv095*H.mp4,tv095t1afaff_H.mp4
5,5,1,4.0,high_cue,low_stim,1.8,4.4,5.4,11.6,1.0,4.0,9.0,4.0,h037.png,049-bm049,bm049*L.mp4,bm049t1afaff_L.mp4
6,6,1,2.0,low_cue,med_stim,0.9,9.4,1.1,6.4,1.0,4.0,9.0,4.0,l056.png,101-mg101,mg101*M.mp4,mg101t2aeunaff_M.mp4
7,7,1,3.0,low_cue,high_stim,2.2,9.0,3.9,6.0,1.0,4.0,9.0,4.0,l040.png,096-bg096,bg096*H.mp4,bg096t1aeaff_H.mp4
8,8,1,2.0,low_cue,med_stim,2.2,4.4,8.2,5.1,1.0,4.0,9.0,4.0,l041.png,052-dr052,dr052*M.mp4,dr052t2aaaff_M.mp4
9,9,1,1.0,low_cue,low_stim,1.8,4.3,3.2,2.6,1.0,4.0,9.0,4.0,l003.png,080-bn080,bn080*L.mp4,bn080t1afunaff_L.mp4
10,10,1,5.0,high_cue,med_stim,0.7,1.6,3.2,7.8,1.0,4.0,9.0,4.0,h020.png,095-tv095,tv095*M.mp4,tv095t2afaff_M.mp4
11,11,1,3.0,low_cue,high_stim,1.5,3.9,2.2,2.3,1.0,4.0,9.0,4.0,l009.png,049-bm049,bm049*H.mp4,bm049t2aeunaff_H.mp4
