,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
0,0,1,6.0,high_cue,high_stim,1.6,0.6,2.0,2.9,1.0,4.0,9.0,4.0,h009.png,042-ll042,ll042*H.mp4,ll042t1aiaff_H.mp4
1,1,1,3.0,low_cue,high_stim,2.0,5.9,4.3,1.1,1.0,4.0,9.0,4.0,l054.png,103-jk103,jk103*H.mp4,jk103t1aaaff_H.mp4
2,2,1,3.0,low_cue,high_stim,1.4,1.0,5.5,0.6,1.0,4.0,9.0,4.0,l017.png,123-jh123,jh123*H.mp4,jh123t1aeaff_H.mp4
3,3,1,6.0,high_cue,high_stim,1.4,1.2,3.9,9.2,1.0,4.0,9.0,4.0,h056.png,047-jl047,jl047*H.mp4,jl047t1aiaff_H.mp4
4,4,1,1.0,low_cue,low_stim,2.0,11.2,4.3,0.6,1.0,4.0,9.0,4.0,l014.png,106-nm106,nm106*L.mp4,nm106t1aaunaff_L.mp4
5,5,1,4.0,high_cue,low_stim,2.0,19.7,9.7,6.9,1.0,4.0,9.0,4.0,h049.png,123-jh123,jh123*L.mp4,jh123t1aaunaff_L.mp4
6,6,1,2.0,low_cue,med_stim,1.2,3.4,6.6,3.6,1.0,4.0,9.0,4.0,l021.png,106-nm106,nm106*M.mp4,nm106t2aaunaff_M.mp4
7,7,1,5.0,high_cue,med_stim,1.6,0.6,2.2,7.1,1.0,4.0,9.0,4.0,h054.png,123-jh123,jh123*M.mp4,jh123t2aaaff_M.mp4
8,8,1,5.0,high_cue,med_stim,0.9,2.0,2.4,5.9,1.0,4.0,9.0,4.0,h043.png,047-jl047,jl047*M.mp4,jl047t1aiunaff_M.mp4
9,9,1,2.0,low_cue,med_stim,2.0,1.6,5.5,5.1,1.0,4.0,9.0,4.0,l044.png,103-jk103,jk103*M.mp4,jk103t2aaunaff_M.mp4
10,10,1,4.0,high_cue,low_stim,0.9,5.9,2.8,5.6,1.0,4.0,9.0,4.0,h015.png,103-jk103,jk103*L.mp4,jk103t1aaunaff_L.mp4
11,11,1,1.0,low_cue,low_stim,0.9,0.8,5.0,5.6,1.0,4.0,9.0,4.0,l031.png,096-bg096,bg096*L.mp4,bg096t2afunaff_L.mp4
