,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename
64,24,3,2.0,low_cue,med_stim,2.9,1.0,1.0,4.0,2.0,9.0,5.2,4.0,l015.png,35,diff,35_100_R.jpg
52,25,3,1.0,low_cue,low_stim,1.5,1.0,1.3,4.0,4.8,9.0,1.9,4.0,l017.png,27,same,27_50.jpg
40,26,3,3.0,low_cue,high_stim,11.7,1.0,1.3,4.0,4.8,9.0,2.1,4.0,l041.png,27,same,27_150.jpg
16,27,3,4.0,high_cue,low_stim,3.4,1.0,1.8,4.0,5.3,9.0,2.9,4.0,h051.png,18,diff,18_50_R.jpg
28,28,3,5.0,high_cue,med_stim,7.1,1.0,0.7,4.0,6.3,9.0,2.9,4.0,h027.png,43,diff,43_100_R.jpg
4,29,3,6.0,high_cue,high_stim,6.9,1.0,0.8,4.0,2.6,9.0,2.9,4.0,h052.png,44,same,44_150.jpg
17,30,3,4.0,high_cue,low_stim,2.0,1.0,2.0,4.0,6.3,9.0,11.8,4.0,h030.png,10,diff,10_50_R.jpg
41,31,3,3.0,low_cue,high_stim,2.0,1.0,1.7,4.0,5.6,9.0,1.0,4.0,l026.png,38,diff,38_150_R.jpg
5,32,3,6.0,high_cue,high_stim,5.0,1.0,2.0,4.0,1.9,9.0,9.5,4.0,h029.png,42,same,42_150.jpg
65,33,3,2.0,low_cue,med_stim,2.2,1.0,1.3,4.0,6.3,9.0,4.2,4.0,l024.png,47,same,47_100.jpg
29,34,3,5.0,high_cue,med_stim,2.2,1.0,2.0,4.0,6.3,9.0,5.4,4.0,h036.png,18,diff,18_100_R.jpg
53,35,3,1.0,low_cue,low_stim,6.9,1.0,2.0,4.0,1.9,9.0,4.3,4.0,l010.png,35,diff,35_50_R.jpg
