,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,7.6997,16.1443,26.8888,2.0,2.3,4.4,1.7,2.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l018.png
1,33.7716,36.4818,41.4658,52.7473,4.0,1.7,1.0,6.5,2.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h017.png
2,59.6301,66.819,72.6518,83.697,3.0,2.2,6.5,6.2,0.5,1.0,4.0,9.0,4.0,low_cue,high_stim,l023.png
3,88.1977,92.8924,99.095,109.2532,5.0,1.3,2.2,1.2,0.5,1.0,4.0,9.0,4.0,high_cue,med_stim,h038.png
4,113.7539,116.4641,123.1867,134.232,2.0,1.7,2.7,6.2,12.8,1.0,4.0,9.0,4.0,low_cue,med_stim,l004.png
5,155.0607,159.7554,168.2,177.9604,3.0,1.3,9.1,0.8,3.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l012.png
6,185.1179,187.8282,194.0309,216.5269,6.0,0.6,2.2,17.7,0.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h042.png
7,221.2934,222.9331,228.7952,239.8404,1.0,0.6,1.9,2.0,2.5,1.0,4.0,9.0,4.0,low_cue,low_stim,l020.png
8,246.3856,250.0185,258.4631,271.1607,1.0,0.9,9.1,7.9,2.2,1.0,4.0,9.0,4.0,low_cue,low_stim,l019.png
9,277.3201,284.5091,290.3712,301.1156,4.0,2.2,1.9,1.7,12.8,1.0,4.0,9.0,4.0,high_cue,low_stim,h039.png
10,321.9444,325.5773,331.6006,342.0848,5.0,0.9,6.7,1.5,9.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h032.png
11,358.02,365.7197,371.5383,381.2987,6.0,2.3,6.5,0.8,3.7,1.0,4.0,9.0,4.0,high_cue,high_stim,h025.png
