,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version
0,120-kz120,high,low,l010.png,33,5,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,5
1,049-bm049,high,high,h016.png,34,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,5
2,120-kz120,low,high,h006.png,0,2,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,5
3,123-jh123,med,low,l003.png,19,3,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4,5
4,124-dn124,med,low,l016.png,15,3,vicarious,99,dn124*M.mp4,dn124t1aeunaff_M.mp4,5
5,049-bm049,low,high,h013.png,4,2,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,5
6,106-nm106,med,high,h014.png,20,4,vicarious,99,nm106*M.mp4,nm106t2aaunaff_M.mp4,5
7,080-bn080,low,high,h012.png,2,2,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4,5
8,066-mg066,high,low,l006.png,27,5,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,5
9,101-mg101,low,low,l049.png,1,1,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4,5
10,107-hs107,low,high,h007.png,6,2,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,5
11,120-kz120,med,low,l013.png,23,3,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,5
12,108-th108,low,low,l048.png,3,1,vicarious,99,th108*L.mp4,th108t1aaunaff_L.mp4,5
13,049-bm049,med,high,h005.png,12,4,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,5
14,101-mg101,med,high,h028.png,22,4,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4,5
15,043-jh043,low,low,l029.png,5,1,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,5
16,043-jh043,high,low,l012.png,29,5,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,5
17,066-mg066,low,high,h011.png,10,2,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,5
18,123-jh123,high,low,l038.png,35,5,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4,5
19,080-bn080,high,high,h001.png,26,6,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4,5
20,043-jh043,med,low,l017.png,21,3,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,5
21,106-nm106,low,low,l001.png,7,1,vicarious,99,nm106*L.mp4,nm106t1aaunaff_L.mp4,5
22,123-jh123,low,high,h039.png,8,2,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4,5
23,066-mg066,med,high,h004.png,14,4,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,5
24,124-dn124,low,low,l014.png,11,1,vicarious,99,dn124*L.mp4,dn124t1aaunaff_L.mp4,5
25,107-hs107,med,high,h010.png,16,4,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,5
26,124-dn124,high,high,h003.png,30,6,vicarious,99,dn124*H.mp4,dn124t1aiaff_H.mp4,5
27,108-th108,high,high,h015.png,28,6,vicarious,99,th108*H.mp4,th108t1aeaff_H.mp4,5
28,092-ch092,med,high,h038.png,18,4,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,5
29,092-ch092,low,low,l015.png,9,1,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,5
30,108-th108,med,low,l028.png,13,3,vicarious,99,th108*M.mp4,th108t2aaunaff_M.mp4,5
31,107-hs107,high,low,l007.png,25,5,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,5
32,080-bn080,med,low,l002.png,17,3,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4,5
33,101-mg101,high,high,h017.png,32,6,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4,5
34,092-ch092,high,low,l004.png,31,5,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,5
35,106-nm106,high,high,h029.png,24,6,vicarious,99,nm106*H.mp4,nm106t1afaff_H.mp4,5
