,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
0,0,1,5.0,high_cue,med_stim,1.7,5.7,1.8,7.0,1.0,4.0,9.0,4.0,h025.png,064-ak064,ak064*M.mp4,ak064t1aiaff_M.mp4
1,1,1,6.0,high_cue,high_stim,0.5,2.1,1.4,4.5,1.0,4.0,9.0,4.0,h050.png,124-dn124,dn124*H.mp4,dn124t1aiaff_H.mp4
2,2,1,3.0,low_cue,high_stim,1.1,2.2,2.8,3.9,1.0,4.0,9.0,4.0,l047.png,052-dr052,dr052*H.mp4,dr052t1aiaff_H.mp4
3,3,1,4.0,high_cue,low_stim,2.9,4.2,1.4,5.3,1.0,4.0,9.0,4.0,h012.png,123-jh123,jh123*L.mp4,jh123t1aaunaff_L.mp4
4,4,1,5.0,high_cue,med_stim,2.9,8.7,2.8,5.1,1.0,4.0,9.0,4.0,h045.png,120-kz120,kz120*M.mp4,kz120t2aeaff_M.mp4
5,5,1,1.0,low_cue,low_stim,2.9,0.9,2.9,10.2,1.0,4.0,9.0,4.0,l030.png,052-dr052,dr052*L.mp4,dr052t1aeunaff_L.mp4
6,6,1,2.0,low_cue,med_stim,0.5,4.3,11.8,2.6,1.0,4.0,9.0,4.0,l032.png,052-dr052,dr052*M.mp4,dr052t2aaaff_M.mp4
7,7,1,2.0,low_cue,med_stim,1.1,3.3,2.9,2.0,1.0,4.0,9.0,4.0,l033.png,123-jh123,jh123*M.mp4,jh123t2aaaff_M.mp4
8,8,1,6.0,high_cue,high_stim,1.7,3.3,4.6,2.0,1.0,4.0,9.0,4.0,h001.png,123-jh123,jh123*H.mp4,jh123t1aeaff_H.mp4
9,9,1,1.0,low_cue,low_stim,1.2,8.7,8.0,1.3,1.0,4.0,9.0,4.0,l023.png,124-dn124,dn124*L.mp4,dn124t1aaunaff_L.mp4
10,10,1,4.0,high_cue,low_stim,0.7,9.7,6.1,9.6,1.0,4.0,9.0,4.0,h023.png,048-aa048,aa048*L.mp4,aa048t2aaunaff_L.mp4
11,11,1,3.0,low_cue,high_stim,0.8,0.9,7.5,0.5,1.0,4.0,9.0,4.0,l035.png,042-ll042,ll042*H.mp4,ll042t1aiaff_H.mp4
