,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff
0,0,1,6.0,high_cue,high_stim,1.6,0.6,2.0,2.9,1.0,4.0,9.0,4.0,h046.png,4,same
36,1,1,3.0,low_cue,high_stim,2.0,5.9,4.3,1.1,1.0,4.0,9.0,4.0,l056.png,42,same
37,2,1,3.0,low_cue,high_stim,1.4,1.0,5.5,0.6,1.0,4.0,9.0,4.0,l024.png,13,diff
1,3,1,6.0,high_cue,high_stim,1.4,1.2,3.9,9.2,1.0,4.0,9.0,4.0,h010.png,23,same
48,4,1,1.0,low_cue,low_stim,2.0,11.2,4.3,0.6,1.0,4.0,9.0,4.0,l051.png,42,same
12,5,1,4.0,high_cue,low_stim,2.0,19.7,9.7,6.9,1.0,4.0,9.0,4.0,h005.png,33,diff
60,6,1,2.0,low_cue,med_stim,1.2,3.4,6.6,3.6,1.0,4.0,9.0,4.0,l026.png,25,diff
24,7,1,5.0,high_cue,med_stim,1.6,0.6,2.2,7.1,1.0,4.0,9.0,4.0,h056.png,4,same
25,8,1,5.0,high_cue,med_stim,0.9,2.0,2.4,5.9,1.0,4.0,9.0,4.0,h049.png,22,diff
61,9,1,2.0,low_cue,med_stim,2.0,1.6,5.5,5.1,1.0,4.0,9.0,4.0,l047.png,39,diff
13,10,1,4.0,high_cue,low_stim,0.9,5.9,2.8,5.6,1.0,4.0,9.0,4.0,h024.png,13,same
49,11,1,1.0,low_cue,low_stim,0.9,0.8,5.0,5.6,1.0,4.0,9.0,4.0,l006.png,11,same
