,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
12,0,2,6.0,high_cue,high_stim,1.6,0.6,2.0,2.9,1.0,4.0,9.0,4.0,h003.png,092-ch092,ch092*H.mp4,ch092t2aiaff_H.mp4
13,1,2,3.0,low_cue,high_stim,2.0,5.9,4.3,4.4,1.0,4.0,9.0,4.0,l035.png,101-mg101,mg101*H.mp4,mg101t2aeaff_H.mp4
14,2,2,3.0,low_cue,high_stim,1.4,0.6,2.8,0.6,1.0,4.0,9.0,4.0,l025.png,064-ak064,ak064*H.mp4,ak064t1aaaff_H.mp4
15,3,2,6.0,high_cue,high_stim,1.4,1.2,3.9,9.2,1.0,4.0,9.0,4.0,h023.png,095-tv095,tv095*H.mp4,tv095t1afaff_H.mp4
16,4,2,1.0,low_cue,low_stim,2.0,11.2,1.6,0.6,1.0,4.0,9.0,4.0,l018.png,064-ak064,ak064*L.mp4,ak064t1afunaff_L.mp4
17,5,2,4.0,high_cue,low_stim,2.0,20.1,12.4,6.9,1.0,4.0,9.0,4.0,h021.png,049-bm049,bm049*L.mp4,bm049t1afaff_L.mp4
18,6,2,2.0,low_cue,med_stim,1.2,3.0,3.9,6.9,1.0,4.0,9.0,4.0,l012.png,095-tv095,tv095*M.mp4,tv095t2afaff_M.mp4
19,7,2,5.0,high_cue,med_stim,1.6,1.0,4.9,7.1,1.0,4.0,9.0,4.0,h055.png,124-dn124,dn124*M.mp4,dn124t1aeunaff_M.mp4
20,8,2,5.0,high_cue,med_stim,0.9,1.6,2.4,5.9,1.0,4.0,9.0,4.0,h042.png,049-bm049,bm049*M.mp4,bm049t2aeaff_M.mp4
21,9,2,2.0,low_cue,med_stim,2.0,1.6,5.5,5.1,1.0,4.0,9.0,4.0,l015.png,101-mg101,mg101*M.mp4,mg101t2aeunaff_M.mp4
22,10,2,4.0,high_cue,low_stim,0.9,6.3,2.8,2.3,1.0,4.0,9.0,4.0,h054.png,124-dn124,dn124*L.mp4,dn124t1aaunaff_L.mp4
23,11,2,1.0,low_cue,low_stim,0.9,0.8,7.7,2.3,1.0,4.0,9.0,4.0,l002.png,095-tv095,tv095*L.mp4,tv095t2aeunaff_L.mp4
