,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename
10,60,6,6.0,high_cue,high_stim,8.5,1.0,1.9,4.0,1.1,9.0,4.4,4.0,h035.png,14,same,14_150.jpg
46,61,6,3.0,low_cue,high_stim,7.6,1.0,1.9,4.0,8.2,9.0,2.3,4.0,l047.png,14,diff,14_150_R.jpg
11,62,6,6.0,high_cue,high_stim,6.0,1.0,2.0,4.0,2.3,9.0,1.6,4.0,h010.png,35,diff,35_150_R.jpg
70,63,6,2.0,low_cue,med_stim,1.0,1.0,0.8,4.0,1.1,9.0,4.6,4.0,l022.png,26,diff,26_100_R.jpg
22,64,6,4.0,high_cue,low_stim,3.7,1.0,0.8,4.0,6.3,9.0,4.6,4.0,h049.png,28,same,28_50.jpg
34,65,6,5.0,high_cue,med_stim,6.0,1.0,1.9,4.0,8.5,9.0,2.8,4.0,h034.png,22,same,22_100.jpg
47,66,6,3.0,low_cue,high_stim,3.7,1.0,1.9,4.0,5.1,9.0,3.0,4.0,l030.png,7,same,7_150.jpg
23,67,6,4.0,high_cue,low_stim,1.9,1.0,0.9,4.0,2.7,9.0,3.8,4.0,h045.png,22,same,22_50.jpg
58,68,6,1.0,low_cue,low_stim,7.0,1.0,0.8,4.0,6.3,9.0,1.2,4.0,l002.png,44,same,44_50.jpg
35,69,6,5.0,high_cue,med_stim,1.8,1.0,1.5,4.0,4.6,9.0,2.3,4.0,h008.png,7,diff,7_100_R.jpg
71,70,6,2.0,low_cue,med_stim,5.9,1.0,1.9,4.0,6.9,9.0,11.6,4.0,l027.png,19,same,19_100.jpg
59,71,6,1.0,low_cue,low_stim,1.0,1.0,1.9,4.0,0.8,9.0,11.6,4.0,l014.png,28,diff,28_50_R.jpg
