,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
0,0,1,2.0,low_cue,med_stim,2.3,12.2,5.8,8.2,1.0,4.0,9.0,4.0,l056.png,097-gf097,gf097*M.mp4,gf097t1aiaff_M.mp4
1,1,1,3.0,low_cue,high_stim,1.2,2.7,5.8,2.2,1.0,4.0,9.0,4.0,l027.png,103-jk103,jk103*H.mp4,jk103t1aaaff_H.mp4
2,2,1,4.0,high_cue,low_stim,1.8,0.7,0.9,3.8,1.0,4.0,9.0,4.0,h014.png,101-mg101,mg101*L.mp4,mg101t2afunaff_L.mp4
3,3,1,5.0,high_cue,med_stim,1.1,7.5,5.8,12.8,1.0,4.0,9.0,4.0,h034.png,103-jk103,jk103*M.mp4,jk103t2aaunaff_M.mp4
4,4,1,6.0,high_cue,high_stim,1.2,12.2,1.7,0.9,1.0,4.0,9.0,4.0,h010.png,107-hs107,hs107*H.mp4,hs107t1afaff_H.mp4
5,5,1,3.0,low_cue,high_stim,1.0,2.5,1.7,1.5,1.0,4.0,9.0,4.0,l003.png,101-mg101,mg101*H.mp4,mg101t2aeaff_H.mp4
6,6,1,1.0,low_cue,low_stim,2.3,2.5,6.1,4.9,1.0,4.0,9.0,4.0,l053.png,097-gf097,gf097*L.mp4,gf097t2aiunaff_L.mp4
7,7,1,6.0,high_cue,high_stim,2.0,0.7,2.0,2.2,1.0,4.0,9.0,4.0,h041.png,108-th108,th108*H.mp4,th108t1aeaff_H.mp4
8,8,1,4.0,high_cue,low_stim,1.0,3.3,9.9,3.4,1.0,4.0,9.0,4.0,h004.png,107-hs107,hs107*L.mp4,hs107t2aeunaff_L.mp4
9,9,1,2.0,low_cue,med_stim,1.2,1.3,9.2,1.5,1.0,4.0,9.0,4.0,l052.png,106-nm106,nm106*M.mp4,nm106t2aaunaff_M.mp4
10,10,1,1.0,low_cue,low_stim,1.2,5.9,4.7,4.3,1.0,4.0,9.0,4.0,l036.png,103-jk103,jk103*L.mp4,jk103t1aaunaff_L.mp4
11,11,1,5.0,high_cue,med_stim,1.8,2.5,0.6,8.2,1.0,4.0,9.0,4.0,h045.png,108-th108,th108*M.mp4,th108t2aaunaff_M.mp4
