,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff
12,0,1,4.0,high_cue,low_stim,0.9,7.3,9.3,5.3,1.0,4.0,9.0,4.0,h001.png,8,same
60,1,1,2.0,low_cue,med_stim,1.6,8.0,7.9,8.8,1.0,4.0,9.0,4.0,l030.png,40,diff
0,2,1,6.0,high_cue,high_stim,1.9,3.5,3.8,5.3,1.0,4.0,9.0,4.0,h044.png,29,diff
36,3,1,3.0,low_cue,high_stim,2.3,2.0,1.3,3.0,1.0,4.0,9.0,4.0,l021.png,45,same
13,4,1,4.0,high_cue,low_stim,0.8,8.0,3.6,4.3,1.0,4.0,9.0,4.0,h022.png,45,diff
24,5,1,5.0,high_cue,med_stim,1.1,2.0,2.0,6.7,1.0,4.0,9.0,4.0,h006.png,40,same
37,6,1,3.0,low_cue,high_stim,1.1,3.9,2.0,6.7,1.0,4.0,9.0,4.0,l035.png,17,diff
25,7,1,5.0,high_cue,med_stim,1.5,3.0,3.6,3.0,1.0,4.0,9.0,4.0,h013.png,23,same
48,8,1,1.0,low_cue,low_stim,2.1,5.8,5.7,5.3,1.0,4.0,9.0,4.0,l011.png,35,diff
49,9,1,1.0,low_cue,low_stim,1.3,2.0,3.8,0.5,1.0,4.0,9.0,4.0,l001.png,34,same
1,10,1,6.0,high_cue,high_stim,2.1,6.3,5.3,4.4,1.0,4.0,9.0,4.0,h031.png,46,diff
61,11,1,2.0,low_cue,med_stim,1.3,2.0,5.8,0.8,1.0,4.0,9.0,4.0,l018.png,10,same
