,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff
46,60,6,3.0,low_cue,high_stim,1.7,6.4,7.1,0.6,1.0,4.0,9.0,4.0,l031.png,11,same
34,61,6,5.0,high_cue,med_stim,2.1,4.5,9.4,9.4,1.0,4.0,9.0,4.0,h036.png,23,same
58,62,6,1.0,low_cue,low_stim,2.1,0.5,0.5,0.7,1.0,4.0,9.0,4.0,l007.png,21,diff
59,63,6,1.0,low_cue,low_stim,0.5,0.8,9.1,8.5,1.0,4.0,9.0,4.0,l004.png,23,diff
22,64,6,4.0,high_cue,low_stim,2.1,3.7,3.0,5.1,1.0,4.0,9.0,4.0,h032.png,25,same
35,65,6,5.0,high_cue,med_stim,1.0,0.5,2.8,0.7,1.0,4.0,9.0,4.0,h043.png,11,diff
23,66,6,4.0,high_cue,low_stim,1.0,7.0,3.6,7.5,1.0,4.0,9.0,4.0,h023.png,23,same
47,67,6,3.0,low_cue,high_stim,1.5,8.0,2.1,4.1,1.0,4.0,9.0,4.0,l044.png,21,diff
70,68,6,2.0,low_cue,med_stim,2.1,5.7,3.1,0.7,1.0,4.0,9.0,4.0,l030.png,13,diff
71,69,6,2.0,low_cue,med_stim,0.9,7.7,3.6,1.5,1.0,4.0,9.0,4.0,l052.png,33,same
10,70,6,6.0,high_cue,high_stim,1.7,1.4,0.5,12.2,1.0,4.0,9.0,4.0,h039.png,42,diff
11,71,6,6.0,high_cue,high_stim,1.2,7.7,9.1,3.1,1.0,4.0,9.0,4.0,h033.png,20,diff
