,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image
0,0.0,3.3142,12.749,25.4836,5.0,0.8,7.9,3.7,1.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h029.png
1,30.5708,35.7184,40.6061,53.3408,2.0,1.5,0.9,3.7,1.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l036.png
2,59.2512,64.3988,71.5911,83.7229,4.0,1.5,5.7,6.1,3.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h048.png
3,91.0372,93.4998,101.9293,113.8319,2.0,1.5,6.9,5.9,8.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l039.png
4,126.4278,135.564,148.16299999999998,159.9428,6.0,2.9,8.6,5.8,3.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h034.png
5,164.8074,167.2303,173.1868,183.794,1.0,1.4,4.5,1.6,16.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l055.png
6,201.7629,205.0548,213.4842,227.5866,3.0,0.8,4.4,5.1,3.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l023.png
7,232.40400000000002,234.0222,238.91,250.8126,5.0,0.6,3.4,2.9,5.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h022.png
8,257.5634,259.2057,264.0934,280.0172,4.0,0.6,0.9,9.9,4.2,1.0,4.0,9.0,4.0,high_cue,low_stim,h028.png
9,285.9276,295.0638,307.6628,320.9145,3.0,2.9,8.6,4.3,1.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l002.png
10,326.0016,329.0387,333.7321,343.8633,6.0,0.7,0.7,4.1,2.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h023.png
11,350.6141,359.7503,365.4771,375.626,1.0,2.9,1.7,1.1,3.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l018.png
