,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename
64,24,3,2.0,low_cue,med_stim,2.7,1.0,1.0,4.0,4.7,9.0,2.9,4.0,l029.png,43,diff,43_100_R.jpg
52,25,3,1.0,low_cue,low_stim,1.7,1.0,1.3,4.0,7.5,9.0,1.9,4.0,l025.png,48,diff,48_50_R.jpg
40,26,3,3.0,low_cue,high_stim,11.7,1.0,1.3,4.0,4.8,9.0,2.1,4.0,l039.png,33,same,33_150.jpg
16,27,3,4.0,high_cue,low_stim,3.4,1.0,1.8,4.0,2.6,9.0,5.2,4.0,h038.png,33,diff,33_50_R.jpg
28,28,3,5.0,high_cue,med_stim,6.9,1.0,0.7,4.0,9.0,9.0,5.2,4.0,h021.png,22,diff,22_100_R.jpg
4,29,3,6.0,high_cue,high_stim,6.9,1.0,0.8,4.0,2.6,9.0,5.2,4.0,h045.png,45,same,45_150.jpg
17,30,3,4.0,high_cue,low_stim,2.0,1.0,2.0,4.0,3.6,9.0,9.5,4.0,h012.png,34,diff,34_50_R.jpg
41,31,3,3.0,low_cue,high_stim,2.2,1.0,1.7,4.0,2.9,9.0,1.0,4.0,l045.png,17,same,17_150.jpg
5,32,3,6.0,high_cue,high_stim,5.2,1.0,2.0,4.0,1.9,9.0,11.8,4.0,h029.png,43,same,43_150.jpg
65,33,3,2.0,low_cue,med_stim,2.0,1.0,1.3,4.0,3.6,9.0,1.9,4.0,l001.png,44,same,44_100.jpg
29,34,3,5.0,high_cue,med_stim,2.2,1.0,2.0,4.0,6.3,9.0,5.4,4.0,h036.png,44,diff,44_100_R.jpg
53,35,3,1.0,low_cue,low_stim,6.9,1.0,2.0,4.0,4.6,9.0,2.0,4.0,l051.png,43,diff,43_50_R.jpg
