,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,stim_num,same_diff
66,36,4,2.0,low_cue,med_stim,2.2,4.1,5.1,5.2,1.0,4.0,9.0,4.0,l042.png,36,same
18,37,4,4.0,high_cue,low_stim,1.9,4.1,0.9,3.3,1.0,4.0,9.0,4.0,h008.png,15,same
6,38,4,6.0,high_cue,high_stim,1.9,11.2,5.0,5.2,1.0,4.0,9.0,4.0,h011.png,5,same
67,39,4,2.0,low_cue,med_stim,1.8,1.7,0.5,1.9,1.0,4.0,9.0,4.0,l008.png,4,same
19,40,4,4.0,high_cue,low_stim,0.6,4.1,0.6,3.3,1.0,4.0,9.0,4.0,h019.png,29,diff
42,41,4,3.0,low_cue,high_stim,1.3,1.0,8.8,7.2,1.0,4.0,9.0,4.0,l020.png,29,same
54,42,4,1.0,low_cue,low_stim,1.0,3.5,5.2,3.3,1.0,4.0,9.0,4.0,l040.png,36,same
30,43,4,5.0,high_cue,med_stim,1.4,3.5,3.1,0.8,1.0,4.0,9.0,4.0,h042.png,12,diff
43,44,4,3.0,low_cue,high_stim,1.0,1.7,6.5,3.6,1.0,4.0,9.0,4.0,l026.png,15,diff
31,45,4,5.0,high_cue,med_stim,1.9,4.2,3.2,6.3,1.0,4.0,9.0,4.0,h012.png,25,same
55,46,4,1.0,low_cue,low_stim,1.8,4.2,8.8,3.3,1.0,4.0,9.0,4.0,l009.png,24,diff
7,47,4,6.0,high_cue,high_stim,1.4,10.7,6.2,10.5,1.0,4.0,9.0,4.0,h049.png,25,same
