,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
12,0,2,2.0,low_cue,med_stim,1.0,2.0,5.2,2.9,1.0,4.0,9.0,4.0,l004.png,042-ll042,ll042*M.mp4,ll042t1afunaff_M.mp4
13,1,2,1.0,low_cue,low_stim,1.3,4.8,1.9,1.5,1.0,4.0,9.0,4.0,l029.png,066-mg066,mg066*L.mp4,mg066t2aeunaff_L.mp4
14,2,2,3.0,low_cue,high_stim,1.3,4.8,2.1,11.7,1.0,4.0,9.0,4.0,l043.png,097-gf097,gf097*H.mp4,gf097t2aaunaff_H.mp4
15,3,2,4.0,high_cue,low_stim,1.8,5.3,2.9,3.4,1.0,4.0,9.0,4.0,h017.png,048-aa048,aa048*L.mp4,aa048t2aaunaff_L.mp4
16,4,2,5.0,high_cue,med_stim,0.7,6.3,2.9,7.1,1.0,4.0,9.0,4.0,h040.png,108-th108,th108*M.mp4,th108t2aaunaff_M.mp4
17,5,2,6.0,high_cue,high_stim,0.8,2.6,2.9,6.9,1.0,4.0,9.0,4.0,h018.png,047-jl047,jl047*H.mp4,jl047t1aiaff_H.mp4
18,6,2,4.0,high_cue,low_stim,2.0,6.3,11.8,2.0,1.0,4.0,9.0,4.0,h024.png,042-ll042,ll042*L.mp4,ll042t1aaunaff_L.mp4
19,7,2,3.0,low_cue,high_stim,1.7,5.6,1.0,2.0,1.0,4.0,9.0,4.0,l002.png,048-aa048,aa048*H.mp4,aa048t2aeaff_H.mp4
20,8,2,6.0,high_cue,high_stim,2.0,1.9,9.5,5.0,1.0,4.0,9.0,4.0,h046.png,042-ll042,ll042*H.mp4,ll042t1aiaff_H.mp4
21,9,2,2.0,low_cue,med_stim,1.3,6.3,4.2,2.2,1.0,4.0,9.0,4.0,l008.png,115-jy115,jy115*M.mp4,jy115t1aeaff_M.mp4
22,10,2,5.0,high_cue,med_stim,2.0,6.3,5.4,2.2,1.0,4.0,9.0,4.0,h056.png,097-gf097,gf097*M.mp4,gf097t1aiaff_M.mp4
23,11,2,1.0,low_cue,low_stim,2.0,1.9,4.3,6.9,1.0,4.0,9.0,4.0,l032.png,115-jy115,jy115*L.mp4,jy115t1aaunaff_L.mp4
