,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename
12,0,2,6.0,high_cue,high_stim,1.9,1.1,4.4,8.5,1.0,4.0,9.0,4.0,h042.png,080-bn080,bn080*H.mp4,bn080t1afaff_H.mp4
13,1,2,3.0,low_cue,high_stim,1.9,8.2,2.3,7.6,1.0,4.0,9.0,4.0,l003.png,121-vw121,vw121*H.mp4,vw121t1aaaff_H.mp4
14,2,2,6.0,high_cue,high_stim,2.0,2.3,1.6,6.0,1.0,4.0,9.0,4.0,h018.png,101-mg101,mg101*H.mp4,mg101t2aeaff_H.mp4
15,3,2,2.0,low_cue,med_stim,0.8,1.1,4.6,1.0,1.0,4.0,9.0,4.0,l014.png,101-mg101,mg101*M.mp4,mg101t2aeunaff_M.mp4
16,4,2,4.0,high_cue,low_stim,0.8,6.3,4.6,3.7,1.0,4.0,9.0,4.0,h003.png,096-bg096,bg096*L.mp4,bg096t2afunaff_L.mp4
17,5,2,5.0,high_cue,med_stim,1.9,8.5,2.8,6.0,1.0,4.0,9.0,4.0,h049.png,109-ib109,ib109*M.mp4,ib109t1afaff_M.mp4
18,6,2,3.0,low_cue,high_stim,1.9,5.1,3.0,3.7,1.0,4.0,9.0,4.0,l013.png,092-ch092,ch092*H.mp4,ch092t2aiaff_H.mp4
19,7,2,4.0,high_cue,low_stim,0.9,2.7,3.8,1.9,1.0,4.0,9.0,4.0,h028.png,101-mg101,mg101*L.mp4,mg101t2afunaff_L.mp4
20,8,2,1.0,low_cue,low_stim,0.8,6.3,1.2,7.0,1.0,4.0,9.0,4.0,l010.png,109-ib109,ib109*L.mp4,ib109t1aiunaff_L.mp4
21,9,2,5.0,high_cue,med_stim,1.5,4.6,2.3,1.8,1.0,4.0,9.0,4.0,h038.png,103-jk103,jk103*M.mp4,jk103t2aaunaff_M.mp4
22,10,2,2.0,low_cue,med_stim,1.9,6.9,11.6,5.9,1.0,4.0,9.0,4.0,l016.png,049-bm049,bm049*M.mp4,bm049t2aeaff_M.mp4
23,11,2,1.0,low_cue,low_stim,1.9,0.8,11.6,1.0,1.0,4.0,9.0,4.0,l034.png,080-bn080,bn080*L.mp4,bn080t1afunaff_L.mp4
